14764340
/m/03gx6pc
/m/03gx6pc
Gavin Lyall
1975
{"/m/01jfsb": "Thriller"}
a 4
age 1
agent 1
air 2
airplane 1
an 4
and 6
archaeologist 1
are 1
around 1
assailants 1
at 1
austrian 1
back 1
bankrupt 1
be 1
beechcraft 1
betrayal 1
but 2
by 2
cargo 1
case 2
cases 1
cavitt 1
champagne 1
charter 2
clearly 1
company 1
conditions 1
contain 1
control 1
crusader 1
cyprus 1
dark 1
daughter 1
did 1
dreams 1
due 1
employers 1
even 1
exroyal 1
fading 1
finds 1
flights 1
flying 3
force 1
fresh 1
friend 1
from 1
gangsters 1
get 1
go 1
going 1
guns 1
having 1
he 6
hidden 1
him 1
his 5
however 1
impounded 1
in 2
instead 1
is 4
israeli 2
lack 1
lands 1
least 1
leaving 1
lebanese 1
lebanon 1
living 1
lot 1
machine 1
makes 1
marked 1
mediterranean 1
military 1
money 1
more 1
mossad 1
mugged 1
murder 1
mysterious 3
not 1
of 3
old 1
on 1
only 1
out 1
own 2
pay 1
plane 1
plot 1
prison 1
queen 1
rapidly 2
roy 1
shows 1
spiral 1
stranded 1
street 1
supposed 1
suspects 1
that 3
the 3
thickens 1
things 1
threadbare 1
to 4
together 1
trailed 1
transport 1
treasure 1
up 1
was 1
when 3
with 2
without 1
worse 1
