12527861
/m/02wbkw9
/m/02wbkw9
Caryl Phillips

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
158 1
185 1
34about 1
34england34 1
34foreigners34 1
34go 1
34home34 1
34nothing 1
34the 2
34winter34 1
40 1
a 23
about 1
accents34 1
accommodation 1
achieve 1
act 1
adamant 1
address 1
advice 2
affair 1
after 3
afterwards 1
again 4
agents 1
agrees 1
all 3
almost 1
also 3
always 1
an 4
and 25
answer 1
any 1
anything 2
are 6
arranges 1
arrive 1
arrived 1
arthur 1
as 4
at 5
attitude 1
averse 1
away 1
back 4
bad 1
bars 1
basically 1
be 9
become 1
becomes 1
bedsits 1
been 3
beer 1
before 1
beginning 1
being 2
believes 1
belonging 1
better 2
black 1
blonde 1
board 1
boat 1
born 1
boyfriend 1
bradeth 3
breakdown 1
buses 1
business34 1
but 9
by 6
calvin 2
can 3
cannot 2
cant 1
care 1
caribbean 1
chapters 1
child 2
choose 1
chooses 1
chores 1
chronological 1
city 1
clothes 1
coloured 1
come 4
coming 3
conclusions 1
contain 1
couple 1
damn 1
darkskinned 1
daughter 1
day 3
days 1
dead 1
declare 1
declared 1
delivery 1
deteriorates 1
did 1
dies 1
different 1
discovers 1
distrust 1
divided 2
do 1
doctor 2
does 3
dont 4
dover 1
down 1
draws 1
drink 1
drunk 2
during 1
early 1
earth 1
effort 1
emigrants 1
emigrate 1
end 1
end34 1
england 5
english 1
entitled 1
episodes 1
estate 1
even 3
eventually 1
everything 1
exaggerated 1
examining 1
example 1
except 2
expecting 1
experience 1
explain 1
eyes 1
faced 1
fair 1
fall 1
family 2
fashion 1
father 1
fathered 1
few 2
fictitious 1
final 2
finally 1
find 1
finds 1
finish 1
first 2
five 1
flashbacks 1
flooded 1
follow 1
following 1
foot 1
for 11
forward 1
four 1
frequently 1
friend 4
from 4
future 1
get 1
gets 1
getting 1
girls 1
go 2
going 3
gone 2
good 2
grandmother 1
habit 1
had 1
hair 1
has 14
have 5
having 3
he 7
health 1
heard 1
hearttoheart 1
her 25
here 2
him 1
his 13
home 2
hospital 1
house 2
household 1
how 2
however 3
huge 1
husband 1
i 3
idea 1
if 1
illegitimate 1
immigrants 1
in 14
income 1
increasingly 1
informed 1
informs 1
inhabited 1
interests 1
into 3
irresponsible 1
is 20
island 4
islanders 1
it 8
its 1
jacket 1
job 2
just 3
kind 1
know 1
known 1
knows 1
law 1
learns 1
least 1
leave 2
leaving 1
left 2
leila 14
leila3s 1
length 1
letter 1
life 6
lighter 1
like 2
lives 1
long 1
looking 2
love 1
lured 1
made 1
main 1
mainly 1
make 1
malcolm 1
man 3
many 2
marriage 1
masses 1
me 1
mean 2
medical 1
men 2
michael 12
millie 5
minority 1
misconceptions 1
money 2
more 1
most 3
mother 8
mother3s 1
move 1
much 2
must 2
my 1
narrated 1
never 2
new 1
newly 1
newlyfound 1
no 2
not 6
novel 2
now 2
odd 1
of 20
off 1
on 15
one 3
only 5
opportunity 1
or 2
order 2
other 2
otherwise 1
out 4
outlining 1
outside 1
over 1
overcrowded 1
own 2
packed 1
parents 1
part 1
pass 1
passage 2
passage34 1
past 1
patched 1
people 6
persuaded 1
petty 1
picked 1
place 1
point 1
pregnant 1
prevalent 1
prey 1
prize 1
product 1
profits 1
promiscuous 1
promising 1
prospect 1
pseudoinformation 1
quaxley 1
quick 1
quiet 1
quits 1
racism 1
rapidly 1
rather 2
real 1
realise 1
realises 1
reasoning 1
refrained 1
regular 1
regularly 1
remained 1
returnees 1
returns 1
reunite 1
right 1
run 1
say 3
saying 1
school 1
scooter 1
seated 1
second 2
secretly 1
see 1
seek 1
seen 1
series 1
set 2
several 1
sex 2
shabby 1
she 14
ship 2
shocked 1
should 1
shoulder 1
sick 1
sinful 1
skin 1
small 2
snippets 1
so 5
soil 1
solely 1
some 4
something 1
son 1
soon 3
speak 1
standing 1
start 2
starting 1
starts 1
stay 1
still 1
stops 1
stories 1
street 1
stronger 2
suddenly 1
suitable 1
tackle 1
take 1
takes 1
talking 1
taxi 1
tell 1
telling 1
than 2
that 10
the 29
their 6
them 1
there 7
they 8
thing 1
things 1
think 2
thinks 1
thirdhand 1
this 1
three 1
time 3
to 43
together 1
told 2
too 3
train 1
treatment 1
tried 1
turns 1
twenties 1
two 1
twoweek 1
unbearable 1
unequal 1
unscrupulous 1
up 4
very 2
victoria 1
visible 1
visit 1
visits 1
voyage 1
wait 1
want 1
wanted 2
wants 1
was 3
way 1
we 3
week34 1
weeks 1
well 1
were 1
what 1
when 3
whenever 1
where 1
which 2
white 4
whites 1
who 9
whom 2
whose 1
why 2
wife 1
wish 1
with 13
woman 1
women 1
won 1
working 2
would 1
writing 1
x 1
year 1
yearold 1
years 1
you 6
young 4
