2977219
/m/08h84f
/m/08h84f
Clive Cussler
1975
0 1
a 22
abducted 1
about 1
actuality 2
admiral 2
after 2
agency 1
ago 1
agricultural 1
air 1
airplane 1
aliases 1
all 2
alliance 1
allowed 1
along 1
america 1
american 1
an 7
ancient 1
and 27
appears 2
are 5
area 1
arms 1
as 4
assassinate 2
assigned 1
assume 1
at 3
atlantic 1
attempt 1
attempts 1
attending 1
away 1
barely 1
base 2
battle 1
be 3
become 1
been 4
bill 1
billionaire 2
black 1
blackmail 1
board 1
bodies 1
businesses 1
businessman 1
buying 1
by 11
called 1
caribbean 1
castille 2
catawaba 1
caused 1
causing 2
celtinium27 2
central 1
charge 1
civilization 1
clamor 1
close 1
clues 1
coast 3
codes 1
commandeer 1
commandeers 1
companies 1
conceived 2
concocts 1
conference 1
continue 1
control 4
controlling 1
convince 1
correct 1
countries 8
crash 3
created 1
creating 1
crew 2
criminal 1
croix 2
cryptic 1
cutter 2
de 2
deal 1
death 1
derelict 1
destructive 1
detect 1
developed 1
dies 1
dirk 3
disappearance 1
disappeared 2
disaster 1
discover 2
discovers 2
discovery 2
disneyland 2
dispatches 1
distract 1
do 1
doctor 1
dominican 1
domino 1
done 1
dr 3
drill 1
dye 2
earns 1
east 1
economic 1
economy 1
effort 1
element 1
elements 1
else 1
embedded 2
empire 1
employ 1
engage 1
enjoying 1
enormous 1
entire 1
equipped 1
erase 1
escape 1
eventual 1
eventually 2
extremely 1
f 1
fake 1
fianc 1
fields 1
figures 1
find 1
fire 2
five 1
floor 1
following 1
for 6
ford 1
francisco 1
frantic 1
french 1
from 7
funded 1
furor 1
fyrie 6
gain 1
get 1
give 1
goal 1
god 1
gone 1
government 1
great 1
group 4
guard 3
guiana 1
harrowing 1
has 5
have 4
having 1
he 4
heat 1
helicopter 2
her 2
hermit 5
him 1
his 4
home 1
hope 1
hopes 1
hospital 1
huge 1
hunnewell 4
iceberg 10
iceland 2
ignites 1
important 1
in 24
incinerated 1
incredibly 1
industries 1
information 1
injured 1
injuries 1
inside 1
intended 1
intends 1
intercepted 1
international 1
intimidating 1
into 4
is 17
it 8
its 3
james 1
jet 2
join 1
juan 1
kelly 1
kidnap 1
kirsti 4
known 1
kristjan 3
laboratory 1
last 1
later 2
latest 1
lax 1
leaders 2
left 1
limited 5
lines 1
longlost 1
looking 1
lorelei 1
major 1
make 1
manages 1
many 1
marine 1
mariner 1
mark 1
marker 2
marking 1
marks 1
marrying 1
mercy 1
metals 1
miles 1
millionaires 2
minerals 1
missing 1
mission 2
more 1
much 1
mysteriously 1
national 1
naturally 1
new 2
north 1
now 1
obtain 1
ocean 1
of 27
old 1
on 9
operations 1
order 4
organization 1
oskar 1
other 2
out 2
outlandish 1
over 8
owner 1
pablo 1
people 2
pirates 1
pitt 11
plane 2
plot 1
possible 2
posts 1
povertystricken 1
press 1
probe 3
products 1
proves 1
pyrrhic 1
quickly 1
quietly 1
ramming 1
reality 1
reassignment 1
recovering 1
red 1
region 2
relatively 1
report 1
republic 1
rescue 2
responsible 1
returns 1
revealed 3
reykjavk 1
ride 1
rime 1
rondheim 2
routine 1
rushed 1
russian 1
ruthless 1
s 1
san 1
sandecker 2
save 2
scan 1
search 1
searching 1
secret 1
secretly 1
security 1
severe 1
severely 1
sex 1
shadowy 1
ship 5
should 1
sightseeing 1
similar 1
sister 1
slipped 1
some 1
someone 1
somewhere 1
south 1
spy 1
states 3
stopped 1
story 1
stranded 1
successes 1
such 1
supposedly 1
surface 1
surgery 1
survey 3
take 3
taking 1
targeted 1
technology 1
terrible 1
than 1
that 9
the 66
thee 1
their 8
them 3
then 1
theory 1
there 1
these 2
they 9
this 4
those 1
to 37
topsecret 1
toward 1
trawler 1
trick 1
trimotor 1
trip 1
try 1
turning 1
two 4
type 2
uncovers 1
undergone 1
underwater 2
unfortunately 1
uninhabited 1
united 3
unstable 1
up 1
uses 2
using 2
utopia 1
uttering 1
value 1
various 1
victory 1
viii 1
way 5
weak 1
well 1
were 1
what 1
when 1
where 3
which 5
while 5
who 7
will 2
with 6
without 1
words 1
work 2
world 1
yacht 1
year 1
