957292
/m/03t91s
/m/03t91s
Robert Silverberg
1971
a 27
about 1
after 1
again 1
alien 1
alienation 1
all 1
allows 1
ambiguously 1
among 1
amount 1
an 2
and 14
another 1
apostle 1
are 2
as 6
available 1
avoid 1
basic 1
be 2
become 1
becomes 1
becoming 1
begins 1
being 1
beloved 1
betrayed 1
between 1
biumar 1
boat 1
bondbrother 1
bondfather 1
bondsister 1
book 2
borthan 3
both 2
brother 1
bureaucrat 1
burnt 1
but 2
by 8
camp 1
captured 1
causing 1
clash 1
cold 1
connection 1
conspicuous 1
convincing 1
could 1
country 2
cousin 1
covenant 1
creating 1
cult 2
culture 1
darival 1
declared 1
deliberate 1
denial 1
developed 1
different 1
direct 1
discuss 1
disturbed 1
document 1
doubts 1
drug 7
earthman 1
effect 1
else 1
employs 1
ended 1
ends 1
engaged 1
enters 1
escape 1
established 1
estate 1
eventually 2
evidently 1
executed 1
exiles 1
existential 1
expedition 1
experience 1
experienced 1
exposes 1
family 1
finally 2
finds 1
first 1
flight 1
following 1
for 6
forbidden 2
freely 1
from 3
fugitive 2
glin 3
go 1
goes 1
grand 1
guards 1
hallucination 1
halum 4
has 1
he 10
headed 1
her 1
him 7
himself 2
his 12
honest 1
however 1
illegal 1
imprisoned 1
in 13
influence 1
intention 1
into 2
is 17
it 1
itself 1
job 1
kind 1
kinnal 2
kinnall 9
klaek 1
large 1
last 1
leaving 1
left 1
life 2
like 1
living 1
lodge 1
logging 1
loimel 2
longing 1
lookalike 1
looks 1
loveless 1
lowlands 1
magic 1
man 1
manneran 4
many 1
marries 1
meets 1
merchant 1
minds 1
miserable 1
monetary 1
more 2
most 1
movement 1
natives 1
neighboring 1
new 1
news 1
nice 1
noim 2
nothing 1
of 17
on 2
once 1
one 2
oneself 1
open 1
openwhich 1
or 3
order 1
organize 1
ostracized 1
other 1
others 1
out 1
overthrowing 1
own 1
passion 1
peasants 1
pen 1
penniless 1
people 1
person 1
personality 1
pieces 1
possibilities 1
possibility 2
powerful 1
prime 1
prince 2
protagonist 1
province 3
real 1
reception 1
recognized 1
referring 1
relationship 1
result 1
revealed 1
ritual 1
road 1
royal 1
ruled 1
salla 5
savings 1
schweiz 3
scriptures 1
seaman 1
secret 1
seeks 1
segvord 1
self 1
selfbarer 1
selfbaring 1
sense 1
septarch 1
sequestered 1
share 4
she 4
shelter 1
shred 1
silverberg 1
small 1
smuggling 1
so 1
social 1
somebody 1
someone 1
soul 1
southern 1
started 2
starts 1
stirron 1
stormshields 1
story 1
strong 1
succeeded 1
sumara 2
surrogate 1
takes 2
telepathic 1
tells 1
than 2
that 4
the 35
their 1
them 2
then 1
there 2
they 2
this 1
though 1
to 18
tormented 1
trait 1
treasurer 1
turns 2
ultimately 1
under 1
unhappy 1
used 1
velada 1
village 1
visited 1
voracious 1
was 3
what 2
where 2
which 5
while 1
who 3
whom 1
widespread 1
wild 1
with 6
woman 1
wonderful 1
world 1
year 1
