22700168
/m/05zjvv0
/m/05zjvv0
Bruce Marshall
1970
{"/m/05hgj": "Novel"}
a 6
activities 1
administrator 1
after 1
an 2
and 4
anglican 1
angry 1
animals 1
are 1
arguments 1
art 1
as 3
at 1
attitude 1
banned 1
basil 1
bede 1
been 1
being 1
benedict 1
birth 1
bishop 6
bull 1
by 1
catholic 2
catholics 1
central 1
characters 1
chemical 1
chooses 1
church 1
community 1
control 1
controversial 1
convent 1
counseling 1
cultural 1
daydreams 1
decree 1
differences 1
discussions 1
down 1
during 2
embroiled 1
encyclical 1
englishmen 1
experiences 1
father 4
fictional 1
fights 1
finbar 1
finds 1
friend 1
future 1
general 1
grenadier 1
guards 1
had 1
he 1
headquarters 1
himself 1
his 4
hospital 1
humanae 1
husband 1
implementing 2
in 4
include 1
inside 1
interestingly 1
introduces 1
irreligious 1
is 1
jenkins 1
kingdom 1
leave 1
literature 1
long 1
look 1
major 1
marshall 1
methods 3
millennium 1
modern 3
monsignor 3
most 2
new 1
novel 2
nun 1
of 12
oflaherty 1
on 1
once 1
opens 2
ordained 1
over 1
papacy 1
papal 1
perhaps 1
physical 1
powell 2
priest 1
problems 1
procathedral 1
process 1
prohibits 1
recently 1
released 1
roman 1
second 1
secretary 1
serves 1
sort 1
spends 1
spyers 4
story 2
struck 1
subplots 1
superiors 1
supplies 1
that 1
the 25
this 2
time 2
title 1
to 2
touches 1
treatment 1
united 1
us 1
use 1
vicar 1
vitae 1
was 1
which 1
who 3
wishes 1
with 1
within 1
workings 1
xvi 1
young 1
