22951256
/m/0641lxq
/m/0641lxq
Jo Nesbø
2007
180 1
2004 1
24 1
a 30
abducted 1
able 1
about 1
absentia 1
across 1
adolescent 1
advances 1
affairs 1
after 4
afterwards 1
alcoholism 1
all 2
allowing 1
almost 1
although 1
and 15
another 1
any 1
appease 1
apprehended 1
apprehending 1
are 3
around 1
as 6
at 5
attempts 1
attraction 1
avoided 1
back 3
background 1
be 5
becomes 1
been 2
before 1
begins 1
behaviour 1
being 2
believe 1
believed 1
bergen 3
bergensians 1
between 2
bold 1
book 4
books 1
boyfriend 1
bratt 3
break 1
brillant 1
built 1
but 2
by 2
capital 1
car 1
case 2
cases 1
catches 1
caused 1
centuriesold 1
characters 1
chases 1
checks 1
children 2
clandestinely 1
clear 1
clue 1
colleagues 1
comes 2
comment 1
committed 1
complicate 1
confession 1
connection 1
consequent 1
continues 1
course 1
damaging 1
day 1
decide 1
dedication 2
departamental 1
department 4
despite 1
details 1
detective 2
determine 1
different 1
disappeared 1
discover 1
discovered 2
discovers 1
disturbed 1
dna 1
doctor 1
dont 1
down 1
drawn 1
due 2
during 3
each 2
earlier 1
eliminated 1
end 1
enquiry 1
eventually 3
experiences 1
facetious 1
fact 1
falls 1
fantasies 1
far 1
father 1
fathers 1
fbi 1
female 1
few 1
finally 2
finds 1
first 2
flashbacks 1
following 2
for 4
force 1
form 1
forward 1
found 2
from 4
further 3
girlfriend 1
going 1
had 1
harry 15
has 5
have 4
having 1
he 4
her 7
herself 1
him 2
himself 1
his 4
hole 3
however 2
identity 1
ignored 1
in 13
including 1
indicative 1
informs 1
initially 1
innocent 1
into 1
investigates 1
investigation 4
ironic 1
is 16
issues 2
it 3
job 1
katrine 6
killer 3
kind 1
kindred 1
large 1
lead 1
leads 3
links 1
longtime 1
looking 2
lovemaking 1
lover 1
lundhelgesen 1
main 2
makes 2
married 2
matters 1
matthias 2
may 1
meet 1
men 1
mental 1
middle 1
more 2
moreover 1
mother 1
motive 1
murder 5
murdered 1
murderer 1
murders 3
near 2
need 1
new 1
newcomer 1
norway 2
norwegian 1
not 1
notice 1
now 1
number 1
obsessive 2
of 19
officers 1
official 1
often 1
on 4
one 2
only 2
or 2
original 1
oslo 3
other 1
out 3
outside 3
party 1
passage 1
past 1
paternity 1
pattern 1
patterns 1
perpetrator 1
personally 1
plot 3
police 3
press 1
prevents 1
previous 2
previously 1
professionally 1
provides 1
psychiatric 1
psychiatrist 1
purely 1
put 1
rakel 3
random 1
real 1
realise 2
reasons 1
recent 1
recently 1
recognizes 1
referred 1
rejecting 1
relationship 1
remarks 1
repeatedly 1
reputation 1
require 1
results 1
rivalry 1
routes 1
same 2
scandal 1
scapegoat 2
scene 4
search 1
seeming 1
sent 1
serial 2
set 1
several 1
sex 1
sexual 2
she 4
short 1
significance 1
similar 1
site 1
smallest 1
snowfall 1
snowman 4
some 1
somebody 1
son 1
spirit 1
stability 1
still 1
strongest 1
success 1
superior 1
suspect 1
suspects 2
suspicion 1
team 1
tells 1
tempted 1
testing 1
than 1
that 9
the 53
their 3
them 2
theme 1
they 4
think 2
this 1
though 1
thought 1
through 1
time 2
to 27
together 1
training 1
transferred 1
triggered 1
true 1
turns 2
two 1
ultimately 1
unit 1
unresponsive 1
up 1
usually 1
vanish 1
various 1
victim 2
victims 3
villain 1
vital 1
vivid 1
waits 1
well 1
when 3
where 1
which 2
while 1
who 2
will 1
window 1
winter 1
with 9
within 2
woman 1
women 2
work 1
wrong 1
years 2
