3356450
/m/097gbt
/m/097gbt
Judy Blundell

12 2
a 7
against 1
ago 1
allow 1
allythe 1
along 1
an 2
anakin 2
and 7
any 1
are 4
as 3
at 1
attack 1
be 2
being 2
bioship 3
brainwashed 1
broken 1
brother 1
brought 1
bruck 4
but 1
by 2
cause 1
causes 1
certain 1
charges 1
chun 2
circle 1
citizens 1
come 1
comes 1
commences 1
constantly 1
corporationnow 1
coruscant 1
criminal 1
death 1
determine 2
discover 2
escapes 1
evacuation 1
events 1
eventually 1
experimental 1
fails 1
fake 1
false 1
family 1
father 2
fellow 1
fight 1
fire 1
first 1
for 2
former 1
found 3
from 1
garen 1
gets 1
have 1
having 1
himself 2
his 2
identity 1
if 2
in 2
innocent 1
into 2
investigate 1
is 5
it 1
jedi 2
kenobi 1
knight 1
later 2
leader 1
leading 1
malfunctions 1
manage 1
meanwhile 1
mission 1
name 1
need 1
none 1
obiwan 4
of 6
off 1
offworld 4
on 2
open 1
other 1
pilot 1
plan 1
planets 1
plot 1
plunder 1
program 1
provided 1
rival 1
sabotaged 1
saboteur 3
same 1
senate 1
sent 1
ship 3
ships 2
shoots 1
short 1
skywalker 1
so 2
someone 1
spy 1
starfighter 1
staying 1
steals 1
still 1
stop 1
student 1
than 1
that 1
the 16
their 2
there 2
they 3
thumb 1
time 1
to 13
together 1
treasury 2
trial 1
trouble 1
under 2
using 1
vast 1
vox 4
which 1
will 1
with 2
working 2
wrongdoing 1
years 2
