18939847
/m/04jfqlv
/m/04jfqlv
Orhan Pamuk
1995
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
about 1
actions 1
and 2
are 2
around 1
as 2
because 1
become 1
book 3
by 1
centers 1
character 1
consumed 1
describes 1
destroy 1
discovers 1
effect 1
engineering 1
few 1
finding 1
followers 1
from 1
has 1
have 1
he 1
hypothesize 1
in 3
is 1
istanbul 1
it 2
its 2
left 1
life 2
main 1
name 1
nature 1
new 2
no 1
novel 2
number 1
obsessed 1
of 7
off 1
on 1
other 2
pages 1
passages 1
people 1
plot 1
protagonist 1
readers 3
revealed 1
same 1
search 1
seek 1
sets 1
similarly 1
so 1
student 1
that 1
the 11
this 1
thrilled 1
through 1
to 2
well 1
who 3
young 1
