9933524
/m/02pxfln
/m/02pxfln
Philip Reeve
2007-04-02
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/0hwxm": "Historical novel"}
a 7
after 1
against 1
all 1
an 1
and 4
aquae 1
arthur 6
as 3
attack 1
bard 1
baths 1
battle 1
be 1
boy 2
british 1
brought 1
brutality 1
build 1
by 2
caliburn 1
can 2
clothes 1
conceding 1
country 1
create 1
creates 1
death 1
disguises 1
does 1
east 1
escape 1
facts 1
famous 1
fantastic 1
found 1
girl 2
give 1
great 1
gwyna 2
have 2
he 1
her 3
hero 1
herself 1
his 2
holy 1
hopes 1
immorality 1
important 1
in 4
is 2
king 1
lady 1
lake 1
legend 2
made 1
man 1
master 1
meets 1
men 1
mere 1
more 1
most 1
myrddin 3
native 1
novel 1
observing 1
occupied 1
of 5
one 1
part 1
piety 1
pretending 1
reputation 1
roman 1
saxons 1
servant 2
she 5
so 2
some 1
starts 1
stories 2
successfully 1
sulis 1
swims 1
takes 1
tells 1
than 1
that 5
the 15
throughout 1
to 3
travel 1
travels 1
tricks 1
unite 1
up 1
warband 2
was 1
when 1
while 2
who 3
with 2
witnesses 1
