177162
/m/0180q0
/m/0180q0
Maiya Williams
2004

a 6
abandoned 1
about 2
adventures 1
after 1
again 1
alexander 1
alltime 1
along 1
an 3
and 13
anticipates 1
apartment 1
appears 1
arrives 1
art 1
as 1
at 2
aunts 2
bakery 1
be 2
beauty 1
become 1
becoming 1
began 1
boring 1
business 1
but 2
celebrated 1
characters 1
church 1
compel 1
curio 1
curious 1
dates 1
death 1
directing 1
disappears 1
disaster 1
discovers 1
dogma 1
drinking 1
elaborate 1
elderly 1
ends 1
enlightenment 3
escape 1
especially 1
european 1
even 1
family 1
father 1
fictional 1
financial 1
finds 1
for 1
france 1
french 2
from 1
giving 1
golden 1
great 1
had 1
happen 1
has 5
haunted 1
have 1
he 4
her 4
his 4
historical 1
history 1
hour 1
house 1
in 3
instead 2
interested 1
into 1
invite 1
is 2
items 1
kids 1
life 2
logic 1
low 1
machine 3
made 1
maine 1
meet 1
meeting 1
middle 1
mom 1
morning 1
mother 1
move 1
musically 1
new 1
next 1
nina 9
of 5
old 1
older 1
on 1
out 1
owatannauk 1
period 1
reason 1
resort 3
revolution 2
rowan 8
run 1
rush 1
save 1
science 1
seems 1
sent 1
she 1
shop 1
sister 2
small 2
so 1
some 1
speaking 1
spend 1
start 1
starting 1
state 1
stocking 1
story 1
strange 1
strides 1
summer 3
superstition 1
suspect 1
talented 1
tell 1
tells 2
tenyearold 1
that 2
the 22
their 4
them 2
they 3
things 1
thirteenyearold 1
time 2
timetravel 1
tip 1
to 14
told 1
town 1
tremendous 1
troubled 1
truth 1
turned 1
turns 1
twins 1
two 3
up 1
used 1
using 1
various 1
very 1
violent 1
visiting 1
way 2
were 1
when 5
who 1
with 2
withdrawn 1
women 1
wrong 1
xanthe 2
xavier 2
york 1
