4406412
/m/0c0kxp
/m/0c0kxp
Mercedes Lackey

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 10
after 2
aid 1
alberich 1
an 1
and 17
are 2
art 1
as 1
at 1
attempt 1
bazie 2
be 1
beautiful 1
because 1
becomes 1
bed 1
begs 1
being 1
beloved 1
better 1
books 1
boy 1
boys 1
can 1
care 1
chosen 1
circumstances 1
clothes 1
collegium 1
comes 1
comfortable 1
companion 2
comrades 1
criminal 1
cymry 1
day 1
dead 2
does 1
down 1
dressing 1
earns 1
education 1
end 1
eventually 1
experienced 1
feels 1
fellow 1
figures 1
find 2
finds 2
flames 1
food 3
for 3
friends 2
from 2
gives 1
glad 1
good 2
he 6
helps 1
her 1
herald 3
hero 1
hides 1
him 2
himself 1
his 8
home 2
horrible 1
horse 1
house 1
however 1
improve 1
in 6
inadvertently 1
is 5
laundry 1
life 3
like 1
linked 1
lives 2
living 1
lord 1
make 1
master 1
means 1
meets 1
mentor 1
missing 1
money 1
more 1
much 1
must 1
name 1
need 1
new 1
night 1
not 1
nothing 1
obtain 1
of 7
one 3
only 1
orthallen 1
other 1
out 1
page 1
parents 1
permanently 1
revenge 1
room 1
she 1
skif 9
so 1
stealing 1
steals 1
still 1
successful 1
table 1
take 2
teacher 1
than 1
that 4
the 11
theft 1
their 1
there 2
thief 1
thievery 1
thing 1
this 2
to 7
together 1
trade 1
trained 1
travels 1
turns 1
two 1
uncle 1
up 1
valdemar 2
weaponsmaster 1
white 1
who 1
with 4
work 1
