22473684
/m/05zmzf5
/m/05zmzf5
Andy Griffiths
2008-04-01
50 1
a 3
about 1
absence 1
academy 4
added 1
all 2
also 3
and 7
around 1
as 1
attacks 1
banana 4
bananas 1
bananasuit 2
beat 1
because 1
becomes 1
being 2
between 1
boring 1
brainfright 6
bull 1
by 2
car 1
caught 1
caused 1
central 1
chapter 1
chomp 2
class 2
clive 1
come 1
constrictor 1
crash 1
cruelly 1
decathlon 2
desperation 1
do 2
does 1
dresses 1
due 1
during 1
emporium 2
ends 1
ensuring 1
event 2
events 2
expelled 1
extremely 1
fail 1
fault 1
finally 1
fiona 1
for 4
fred 1
get 1
getting 1
gives 1
grunt 2
guide 1
has 2
he 3
henry 3
him 2
his 4
however 1
in 7
interschool 1
into 1
is 1
it 3
job 1
judge 1
laps 1
longer 1
madness 1
mascot 4
mascotting 1
mcthrottle 1
mr 9
neck 2
next 1
no 1
northwest 6
not 2
nww 1
obsessed 1
occasionally 1
of 2
official 1
one 2
oval 1
pit 1
point 1
pole 1
police 1
principal 1
punishment 1
real 1
record 1
replace 1
replacing 1
report 1
ruined 1
ruled 1
running 1
scared 1
school 1
schools 1
southeast 2
speed 1
sport 1
sports 3
starts 1
story 1
streak 1
suit 2
support 1
teacher 2
teaches 1
tells 1
terrier 1
that 2
the 20
their 1
them 1
therefore 1
they 1
this 1
those 1
to 8
told 1
tortures 1
two 1
until 1
unusual 1
up 1
used 1
vaulting 1
visualise 1
wasnt 2
weight 1
west 4
while 1
who 2
win 2
winning 1
with 4
year 1
