3429982
/m/09c0mp
/m/09c0mp
Robin McKinley
1982
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 21
abduct 1
able 2
abnormally 1
accompany 1
acting 1
adjusts 1
adopts 1
aerin 4
aerinbut 1
afraid 1
after 3
again 1
against 1
age 1
ageless 1
ago 1
ahead 1
allies 1
along 1
also 1
always 1
amasses 1
an 4
ancient 2
and 43
angharad 1
angry 2
annual 1
another 1
are 3
armies 1
army 3
arrival 1
as 12
ashamed 1
at 3
attempt 1
aware 1
away 2
back 1
barely 1
based 1
battle 2
be 3
because 3
becomes 1
becoming 1
been 5
begins 1
belonged 1
below 2
better 1
between 2
bloodline 1
bloody 1
blue 1
border 1
born 2
both 2
break 1
briefly 1
bring 1
bringing 1
brother 3
brushes 1
but 6
by 5
called 3
calling 1
capital 1
cause 1
celebrations 1
charles 1
children 1
choice 1
chooses 1
chose 1
city 1
clashes 1
climbs 1
colonial 1
come 1
commands 1
commissioner 1
competition 1
comply 1
compulsion 2
concerns 1
confess 1
confusion 1
connection 2
contrary 1
corlath 22
country 1
crewe 1
crosses 1
crush 1
customary 1
customs 1
damalursol 1
damar 7
damarian 6
damarians 1
daria 1
daughter 1
death 1
deceased 1
decides 3
decision 1
declaration 1
dedham 1
defend 1
demonic 1
demonwizard 1
desert 2
desires 1
desperate 1
despite 2
diplomatic 1
direct 2
disapprovalnot 1
discovers 1
discuss 1
disobeyed 1
disobeying 1
distraught 1
district 1
does 2
dragon 1
dress 1
due 1
during 2
eddying 1
efforts 1
element 1
engage 1
enter 1
entirely 1
even 1
eventually 2
express 1
extremely 1
fails 1
fallen 1
falling 1
family 1
fear 1
fearing 1
feel 1
female 1
few 1
fierce 2
fight 1
fighting 2
finally 1
find 1
first 2
following 1
for 5
force 2
forced 1
forewarned 1
formal 1
forsaken 1
four 1
friend 1
friends 1
from 6
full 1
give 1
gives 1
gone 1
gonturan 2
good 1
greatgrandmother 1
guest 1
had 2
harimad 1
harry 26
has 11
hate 1
have 3
he 12
heal 1
hed 1
help 2
helps 1
her 26
hero 1
heroine 2
herself 1
hillfolk 2
him 6
himself 1
his 13
history 1
hold 1
home 1
homeland 6
homelander 2
homelanders 2
honored 1
honour 1
hopes 1
horse 1
horsebackriding 1
however 3
if 1
ignoring 1
impending 1
in 10
incites 1
influence 1
into 3
introduces 1
invasion 1
is 11
istan 1
it 1
jack 1
join 1
kelar 5
kentarre 1
kidnap 1
king 7
known 3
knows 4
lady 3
land 2
language 1
laprun 3
laprunminta 2
leadership 1
learn 1
learning 1
learns 1
leave 1
leaves 1
legendary 1
life 1
light 1
like 3
little 1
long 1
lost 1
love 5
loyalty 2
luthe 2
magical 1
majority 1
make 1
makes 1
many 1
married 1
marries 1
mathin 4
meet 1
members 1
men 1
military 1
mortally 1
mother 1
mountain 1
mountainside 1
must 1
named 2
native 1
near 1
newfound 1
news 1
nineteen 1
nobleman 1
nonetheless 1
north 1
northerners 1
not 1
observation 1
ocean 1
of 24
off 3
old 1
omen 1
on 3
one 1
only 3
open 1
or 2
orders 2
orphaned 1
other 1
out 1
outlander 1
outlanders 2
outpost 2
own 1
part 3
pass 5
people 4
period 1
personally 1
plans 1
points 1
posed 1
position 1
powerful 1
predicted 1
province 1
proving 1
public 1
push 1
puzzled 1
quickly 1
raised 1
rather 1
realized 1
reasoning 1
receives 1
recently 2
referred 1
regains 1
relations 1
remotest 1
respect 1
return 1
returning 1
returns 2
reveals 1
richard 2
ride 2
rider 3
riders 2
right 1
royal 2
rumbling 1
rushes 1
sash 1
savior 1
seen 2
seer 1
she 24
shear 1
shouting 1
side 2
since 1
sir 1
skills 1
slayer 1
slope 1
small 3
somewhat 1
soon 3
sparkling 1
spring 1
stand 1
still 2
story 1
strength 1
strong 1
surprise 1
surprises 1
survives 1
sword 1
swords 1
take 1
takes 1
teacher 1
teaches 1
tell 1
tells 1
than 1
that 18
the 71
their 6
them 1
there 3
these 1
they 5
this 4
thought 1
threat 1
through 2
throws 1
thurra 4
time 1
to 33
together 1
tongue 1
too 1
tormented 1
torn 1
town 1
trance 1
treat 1
trials 2
tribes 1
tried 1
two 1
uncharacteristically 1
under 2
united 1
upon 1
usually 1
valley 1
venerated 1
very 2
view 1
vision 1
visionlaced 1
visit 2
warn 1
warning 1
warrior 3
waves 1
way 1
well 2
when 4
where 1
which 2
while 3
who 3
whom 2
will 7
with 11
woman 2
wonder 1
word 1
wore 1
wounded 1
wrong 1
young 1
