8589403
/m/02792bw
/m/02792bw
Aleksandr Pushkin
1820
1820 1
1828 1
a 35
abandon 1
abducted 1
able 1
accompanied 1
actually 1
advances 1
advises 1
agrees 1
alive 2
all 1
alliance 1
among 1
an 5
and 46
angered 2
annuls 1
another 2
appeared 1
appears 2
approaching 1
are 2
arm 1
armor 1
arrived 2
arts 1
as 10
at 4
attack 1
attackers 1
attacks 1
attention 1
author 2
avenged 1
await 1
awaken 1
awakened 1
awakens 3
away 2
baba 1
back 1
battle 1
battlefield 1
be 6
beard 5
bears 1
beauties 1
beautiful 1
beckons 1
become 1
becomes 1
bedraggled 1
bedroom 1
been 3
begin 1
begins 1
behind 1
belong 1
bemoans 1
bent 1
better 1
blessing 1
blocked 1
blows 1
boastful 1
bold 2
bones 1
both 3
bound 1
break 1
bride 2
brief 1
briefly 1
bright 1
brother 3
brothers 1
but 6
by 21
calling 2
calls 1
cannot 1
carried 1
carrying 1
cast 1
castle 1
cat 1
cats 1
cavern 1
celebrate 1
chain 1
challenged 1
challenger 1
chamber 2
chance 1
cheek 1
chernomor 13
chernomors 2
city 2
citys 1
classical 1
closer 1
coat 1
comes 1
comment 2
comments 1
common 1
confronts 1
consummate 1
contain 1
contemporary 1
contented 1
continuing 1
could 2
couple 1
course 1
crone 1
cutting 1
daughter 1
daughters 1
days 2
dead 2
decides 2
dedicates 1
deep 1
defeat 1
defeating 1
defeats 1
describes 1
deserted 1
desire 1
dies 1
direction 1
disappearance 1
discovers 1
disputed 1
distance 1
dnieper 1
does 1
door 1
dragon 1
drown 1
dwarf 1
each 1
edition 2
editorial 2
elements 1
eludes 1
emitting 1
empty 1
encamped 1
encounters 2
encouraged 1
enveloped 1
envied 1
even 1
every 1
evoke 1
explains 1
face 1
fallen 1
farlaf 8
fate 2
feast 1
feels 1
fills 1
finally 3
find 6
finding 1
finds 8
finn 3
finns 1
first 3
fisherman 1
flailing 1
flees 1
flies 1
fly 1
flying 1
folktales 1
follows 1
for 6
forgets 1
forgives 1
form 1
found 3
friends 1
from 4
fulfill 1
garden 2
giant 1
girl 1
given 1
gives 2
glorious 1
go 2
golden 1
gone 1
grateful 1
green 1
ground 2
grudge 1
guests 1
had 5
hand 1
hangs 1
happiness 1
has 5
hat 4
he 30
head 12
heads 1
hear 1
heard 1
hearing 1
hears 1
helmet 1
henchmen 1
hens 1
her 11
herself 3
hidden 1
hill 1
him 13
himself 4
his 32
holding 1
hope 1
horn 2
horseback 1
horses 1
hour 1
how 1
however 3
huge 1
human 1
hunchbacked 1
hurries 1
hut 1
if 1
in 22
initial 1
injuries 1
inspection 1
instead 3
interrupted 1
into 6
invisible 1
is 19
it 10
its 4
jealous 1
journey 1
joyful 1
khan 2
khazar 1
kiev 4
kill 2
king 1
knocks 1
koschei 1
lair 1
lance 2
lashes 1
lavish 1
lay 1
leads 1
leaps 1
learning 1
leaves 4
leaving 1
legs 1
lies 1
lightning 1
long 1
longer 1
love 4
lover 1
lovesick 1
ludmila 12
ludmilas 3
luxury 1
lying 1
magic 1
magical 2
magically 1
maiden 2
maidens 1
make 2
makes 1
man 2
manservants 1
marriage 3
marvelous 1
matters 1
mercy 2
met 2
midst 1
mighty 1
momentarily 1
mourning 1
mourns 1
must 2
my 1
mysteriously 1
mythology 1
naina 3
nainas 1
namely 1
narrator 2
night 1
no 2
not 4
now 1
nowhere 1
oak 1
of 18
off 7
often 1
old 4
on 9
once 2
one 3
only 2
opening 1
opens 1
opportunity 2
order 1
original 1
other 1
out 4
over 1
own 1
palace 1
part 2
particular 1
path 1
peace 1
pleads 2
pledging 1
poem 2
points 1
position 1
power 2
prepares 2
presence 1
prey 1
prince 1
prologue 2
promises 1
proposed 1
pushkin 1
put 1
queens 1
quest 2
ratmir 3
read 1
ready 1
realizes 1
reappear 1
reference 1
references 1
rejected 1
relics 1
remained 1
remaining 2
remains 1
remembers 1
remorse 1
rest 1
resurrects 1
return 3
returns 2
revealing 1
reveals 1
revenge 1
reward 1
rider 2
rides 3
ring 2
rival 1
rivals 2
rogday 4
ruslan 35
ruslans 1
russian 1
saddles 1
safely 1
save 1
sea 1
searches 1
secret 1
secure 1
see 1
seeing 1
seizes 1
set 2
sets 1
sever 1
several 1
severing 1
shaken 1
she 14
should 1
siege 1
sleeps 1
slumber 1
slumbering 1
snipping 1
solomons 1
some 1
sometimes 1
songs 1
soon 2
sorcerer 1
soul 1
sound 2
sounds 1
spell 2
spent 1
spurned 1
startled 2
states 1
sticks 1
still 1
stories 1
story 5
storytelling 1
strange 2
stream 1
strewn 1
succumbs 1
such 1
suitable 1
sword 10
take 1
takes 1
taunt 1
telling 1
tells 6
ten 1
that 16
the 81
their 2
them 1
then 5
these 1
they 6
this 2
three 2
thrust 1
thrusting 1
thrusts 1
thunder 1
thwarted 1
time 1
to 56
told 1
tongue 2
touches 1
tow 1
toward 1
trade 1
trance 1
tree 1
tricked 1
tried 2
tripping 1
trophy 1
true 1
tumbles 1
turns 4
two 2
unconscious 1
under 1
unharmed 1
unnamed 1
until 1
up 1
used 1
uses 1
vanish 1
vanished 1
varying 1
victory 1
visited 1
vladimir 4
voice 2
wanders 1
war 1
warrior 4
warriors 1
was 4
waters 1
wedding 1
when 2
where 4
which 5
who 15
whoever 1
whom 1
whose 1
will 5
win 2
with 11
without 1
wizard 3
wizards 2
woman 1
worse 1
would 2
yaga 1
yearns 1
years 1
young 4
