5189402
/m/0d6zt_
/m/0d6zt_
Thomas Harris
1999-06-08
{"/m/01jfsb": "Thriller", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
1478 1
2000 1
a 15
able 1
about 2
abused 1
acquainted 1
after 5
again 1
agent 1
aided 1
aires 1
also 1
an 2
ancestor 1
and 24
armed 1
around 1
as 4
assumed 1
at 6
ate 1
attempts 1
bait 1
baltimore 1
barney 4
barricade 1
because 1
become 1
been 1
before 1
begins 1
behavioral 1
believe 1
beloved 1
blame 1
boars 2
bodybuilder 1
bodyguard 1
bounty 1
brain 1
brainwash 1
break 1
briefly 4
bring 1
brother 2
buenos 1
but 2
by 7
camera 1
can 1
captured 1
career 1
carries 1
carrying 1
catch 1
cattle 1
child 3
childhood 1
clarice 1
collecting 1
condolence 1
confusion 1
corrupt 1
criminally 1
crumble 1
custody 1
de 1
dealer 1
death 1
department 1
deserters 2
desperate 1
detective 1
determined 1
dine 1
disappear 1
disfigured 1
disgraced 1
does 1
down 1
drug 1
drugs 1
drumgo 1
during 1
eel 1
employment 1
escaped 1
escapes 2
escaping 1
estate 1
evelda 1
eventually 1
family 1
fbi 1
fear 1
feeding 1
finds 1
flees 1
florence 1
florentine 1
footage 1
for 3
forcibly 1
former 1
found 1
francesco 1
friendship 1
from 1
full 1
german 1
get 1
gets 1
girlfriend 2
go 2
goes 1
going 1
group 1
gumb 1
had 1
hairs 1
hanged 1
hangs 1
hannibal 1
has 2
hated 1
have 2
he 9
helpless 1
her 16
herself 1
him 11
his 8
hoping 1
horribly 1
hospital 1
however 2
if 1
ii 1
in 8
information 1
insane 1
instead 1
intended 1
interest 1
interests 1
is 6
italy 1
jame 1
judy 1
july 1
justice 1
kidnaps 1
killed 1
killing 1
kills 4
krendler 2
last 1
later 2
leaving 1
lecter 20
left 1
lesbian 1
letter 1
life 2
live 2
living 1
lobotomizes 1
lose 1
lovers 1
make 1
makes 1
margot 4
mason 3
matthews 1
meanwhile 1
meets 1
men 5
meth 1
mischa 4
molested 1
moray 1
more 1
much 1
murder 1
name 1
named 1
needs 1
nemesis 1
never 1
no 1
novel 1
obtains 1
of 12
on 7
once 1
one 4
only 1
opera 1
orderly 1
orphaned 1
painting 1
partner 1
pass 1
paul 1
pazzi 4
pedophile 1
personal 2
pet 1
plans 1
prey 1
prisoner 1
prod 1
proves 1
psychotropic 1
pursues 2
pursuing 1
raid 1
raped 1
reasoning 1
reconcile 1
regimen 1
releases 1
requests 1
rescuing 1
returned 1
revenge 1
rinaldo 1
sadistic 1
safety 1
said 2
same 1
scene 1
see 2
seen 1
selfdefense 1
sends 1
separating 1
session 1
seven 1
she 8
shoot 1
shoving 1
since 1
sister 2
smell 1
so 1
sodomizing 1
specifically 1
sperm 2
spots 1
starling 10
state 1
states 1
stays 1
stillliving 1
strained 1
strong 1
tells 3
terrified 1
that 4
the 19
their 3
them 4
then 2
therapy 2
they 3
three 1
throat 1
through 1
time 2
to 15
together 1
too 1
took 1
touches 1
tranquilizer 1
treated 1
two 2
ultimately 1
unconscious 1
under 1
united 1
upon 1
urged 1
use 1
using 2
verger 10
vermeer 1
victim 1
war 1
was 3
watched 1
waves 1
we 1
wealthy 1
were 1
what 1
when 3
where 2
which 2
who 4
whom 1
wild 2
will 1
with 7
within 1
witnesses 1
works 1
world 1
would 1
wrong 1
years 2
younger 1
