4263550
/m/0bt0cy
/m/0bt0cy
Trudi Canavan
2002
2 1
3 1
a 15
about 5
abreast 1
accused 1
across 1
administrator 3
admits 1
afraid 1
after 1
against 1
akkarin 7
all 1
allied 1
already 1
also 3
always 1
ambassador 1
ambushing 1
an 2
ancient 1
and 30
another 2
any 1
anything 1
are 4
arena 1
as 10
assassin 1
assisted 1
at 8
attacked 1
attacks 2
attracted 1
aware 3
back 1
battle 2
be 2
because 1
become 1
becomes 1
becoming 1
been 1
befriend 1
befriends 1
begin 3
begins 1
begs 1
being 1
believe 1
best 1
black 4
both 1
box 2
brute 1
bully 1
bullying 4
but 4
by 7
can 1
cannot 1
cares 1
catch 1
cautious 1
challenges 1
children 1
circulate 1
city 2
claim 1
class 2
classmate 1
classmates 1
clear 1
come 1
comes 1
considered 1
continue 2
continues 2
counter 1
countryside 1
danger 1
dannyl 3
day 1
deaths 1
decides 2
deny 1
despite 1
discourage 1
discover 1
discovers 2
displayed 1
do 1
does 7
done 1
dorrien 6
duel 1
dwellmdashbegins 1
each 1
easy 1
elyne 3
enables 1
end 2
ends 1
ensure 1
even 1
eventually 3
everything 1
evil 1
except 1
explains 1
extent 1
family 1
father 1
favourite 1
fearing 1
feel 1
fellow 1
fends 1
find 1
finds 1
first 4
for 5
forbidden 1
forced 1
forcereads 1
formal 1
formerly 1
frame 1
frames 1
friend 1
from 8
frowned 1
gets 1
girlmdashor 1
gives 1
gold 1
gradually 1
grow 1
guard 1
guardianship 1
guild 3
hallmarks 1
halls 1
harass 1
harassment 1
hard 2
harder 1
has 3
have 5
having 2
he 11
healer 1
healing 2
hear 1
hell 1
helper 1
her 26
herself 2
high 9
higher 1
him 5
his 5
hold 1
homosexual 1
homosexuality 1
hopes 1
hostage 1
how 2
however 5
hurt 1
if 2
ignore 1
in 13
increasing 1
indefinitely 1
information 1
innocence 1
intake 3
intensifies 1
into 1
involvement 1
is 19
it 4
jeopardize 1
kept 1
kill 2
kisses 1
know 1
knows 1
lands 1
larger 1
late 1
later 4
learns 2
leaves 1
levitation 1
librarian 1
library 1
life 2
living 1
long 1
lord 12
lorduse 1
lorlen 11
made 1
magic 7
magician 1
magicians 2
make 1
man 2
mature 1
may 2
meanwhile 1
mentor 1
mind 2
mindspeak 1
more 1
move 1
much 2
murders 2
must 1
named 1
near 1
new 1
newlywon 1
nor 1
not 7
nothing 1
noticed 1
novice 2
novices 1
now 1
number 1
numbers 1
of 17
off 2
old 1
on 1
one 1
only 3
order 1
other 3
out 4
over 1
part 1
particularly 1
past 2
peers 1
pens 1
plagued 1
porril 1
position 1
power 3
powers 3
privately 1
promoted 2
protect 1
prove 1
pupil 1
pupils 1
put 1
putting 3
quarters 1
quell 1
quiet 1
rather 1
read 1
regin 8
reinforces 1
relationship 4
remains 1
respect 1
reveal 1
revealed 1
ring 1
rival 1
rothen 5
rumours 2
sachaka 2
safety 2
second 1
secret 1
see 1
seek 1
sends 1
sent 1
sets 1
she 13
shields 1
shocked 1
since 3
skill 2
slowlearner 1
slum 1
slums 1
so 1
some 1
something 1
son 1
sonea 24
stay 1
stealing 1
stop 1
story 2
strength 1
stronger 3
students 2
studied 1
studies 3
studying 1
subject 1
suggestion 1
summer 2
sure 1
surprised 1
suspects 1
suspicious 1
take 1
tayend 3
teacher 1
teachers 1
teaches 1
tell 1
tells 1
terrified 1
than 2
that 9
the 49
them 4
then 1
there 1
these 1
they 4
this 4
those 1
though 3
through 1
time 1
to 38
too 1
torturing 1
train 1
trap 1
travels 1
tries 1
truth 1
truthfully 1
truthread 1
trying 1
turns 1
two 2
unable 2
unconscious 1
up 1
upon 1
use 1
violence 1
visit 1
visits 1
want 1
warrior 1
was 2
way 1
weakest 1
well 1
were 1
what 2
when 1
which 2
whilst 1
who 2
will 3
wins 1
winter 1
with 5
witnesses 1
working 1
works 1
worse 1
would 1
yikmo 3
