390168
/m/022kyh
/m/022kyh
James Ellroy
2001-05-08
163 1
22 1
a 4
acted 1
after 1
aftermath 1
against 1
agency 1
agent 1
all 1
alone 1
an 1
and 10
army 1
arrested 1
arrives 1
as 1
assassination 2
become 1
begins 1
black 1
blessing 1
bondurant 1
builds 1
bureau 1
but 1
casinos 1
castro 1
central 1
consensus 1
continues 1
dallas 3
decade 1
department 1
dollars 1
edgar 1
ensure 1
explodes 1
f 2
federal 1
fidel 1
five 1
fly 1
for 2
former 1
friend 1
harvey 1
has 1
highpowered 1
hoover 1
in 3
intelligence 1
into 1
investigation 2
involved 1
is 4
j 1
john 1
jr 2
kennedy 2
kill 1
king 1
las 2
lawyer 1
lee 1
littell 2
luther 1
mafia 2
manage 1
martin 1
minutes 1
murder 1
november 1
now 2
of 2
offended 1
officer 1
on 1
once 1
operations 1
oswald 1
over 1
paid 1
partner 1
pete 1
pimp 1
plots 1
pointman 1
police 1
race 1
relations 1
robert 1
roughly 1
six 1
story 1
tedrow 1
tension 1
the 11
thousand 1
three 1
throughout 1
thrust 1
thus 1
to 4
turned 1
uneasy 1
us 1
vegas 2
veteran 2
vietnam 1
war 2
ward 1
wayne 1
who 2
with 1
years 1
