929833
/m/03qzlv
/m/03qzlv
Nathaniel Hawthorne
1835
{"/m/0707q": "Short story", "/m/02xlf": "Fiction"}
a 10
about 1
accepts 1
all 2
along 1
altar 1
an 2
and 8
answered 1
are 2
around 1
arriving 2
as 2
assembled 1
at 6
away 1
back 1
be 2
bearing 1
begins 1
belief 1
black 1
borne 1
brought 1
brown 5
but 3
by 1
calls 2
carried 1
carries 1
carved 1
ceremony 1
christian 1
clearing 1
cloyse 1
community 1
complains 1
completed 1
concludes 1
converts 1
cynic 1
deeply 1
destination 1
direction 1
distorted 1
dream 1
dressed 1
dusk 1
dying 1
embittered 1
encounter 1
errand 1
events 1
everyone 1
evidently 1
faith 5
fashioned 1
find 1
flamelit 1
flies 1
fly 1
for 3
forest 5
forthgoodman 1
friendly 1
gloom 1
goodman 4
gravethey 1
had 1
hawthorne 1
he 10
hears 1
heaven 1
her 3
him 2
himself 2
his 11
home 1
hopeful 1
hour 1
humanity 1
husband 1
in 10
inhabit 1
initiated 1
insists 1
instantly 1
into 1
is 3
journey 1
leaves 1
life 1
lived 2
lives 1
long 1
loses 1
man 2
manner 1
maple 1
massachusetts 1
may 1
meets 1
midnight 1
mistress 1
months 1
morning 1
must 1
need 1
newest 1
next 1
night 3
no 1
not 2
of 4
only 1
or 1
other 1
out 2
pleads 1
previous 1
real 1
resemblance 1
resist 1
rite 1
rocky 1
sabbath 1
salem 2
same 1
scene 1
seems 1
serpentshaped 1
shaken 1
similar 1
snake 1
staff 3
stay 1
story 2
stranger 2
suspicious 1
that 2
the 26
then 1
they 1
three 1
through 1
to 12
tombstone 1
townspeople 3
traveling 1
trees 1
two 2
uncertain 1
unknown 1
upon 1
using 1
vanishes 1
verse 1
voice 1
walk 1
wary 1
was 2
were 1
when 2
whether 1
which 1
who 1
wife 3
witches 1
with 5
woods 2
writing 1
yet 1
young 1
