8643690
/m/027c8d3
/m/027c8d3
Anne McCaffrey

a 3
afra 1
again 1
against 1
aliens 1
ally 1
and 3
are 3
backbone 1
become 1
beetle 2
better 1
both 1
but 1
called 1
childhood 1
children 3
clan 1
common 1
continued 1
damia 3
defense 1
despite 1
dini 1
dinis 1
each 1
encroaching 1
enemy 1
expansionist 1
family 1
first 1
for 1
form 1
found 1
from 1
half 1
has 1
hive 1
human 1
humanity 2
humans 1
in 3
inhabited 1
is 1
last 1
line 1
lyon 2
mrdini 1
must 1
necessitating 1
network 1
new 1
of 5
on 1
once 1
one 1
ongoing 1
order 1
other 1
powerful 1
pride 1
psychic 1
raised 1
ravenlyon 1
some 1
species 2
story 1
such 1
talents 1
teleportation 1
tells 1
tenacious 1
territory 1
that 1
the 9
their 2
to 1
together 1
two 1
understand 1
war 1
which 1
who 1
youth 1
