423606
/m/026rp1
/m/026rp1
Jack London
1909
{"/m/0dwly": "Children's literature", "/m/04fqp": "K\u00fcnstlerroman", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
20th 1
a 12
above 1
achieve 1
against 2
aid 1
already 1
among 1
an 1
and 9
are 1
as 1
at 1
attained 1
attains 1
attempted 1
background 1
be 1
because 1
become 1
before 1
beginning 1
between 1
biographical 1
book 1
bourgeois 2
bourgeoisie 1
but 2
by 3
calls 1
century 1
circumstances 1
clarice 1
come 1
commented 1
committing 1
contributed 1
daughter 1
death 1
destitute 1
developed 1
different 1
does 1
donate 1
downnbsp 1
drowning 1
eden 5
elite 1
encouragement 1
ending 1
ends 1
enjoying 1
family 2
favour 1
fields 1
for 1
friends 1
from 1
generation 1
genteelness 1
great 1
grudge 1
had 2
has 1
he 3
her 1
him 2
his 5
hoping 1
if 1
impossible 1
in 3
indifference 1
inspired 1
instead 1
intense 1
interrupted 1
into 1
is 3
it 1
its 1
jack 1
jaded 1
joan 1
just 1
letter 1
level 1
literary 1
living 1
london 2
loses 1
love 2
make 1
martin 1
mentally 1
morse 1
morses 1
motivation 1
myth 1
new 1
not 1
novel 1
oakland 1
objectives 1
of 10
often 1
oldest 1
only 3
or 2
other 1
over 1
own 1
passionate 1
patience 1
period 1
place 1
principal 1
proletarian 1
promises 1
publishers 1
pursuit 1
quiet 1
rail 1
reaches 1
refinement 1
regarded 1
rejects 1
researcher 1
retreats 1
rise 1
rough 1
ruth 3
sailor 1
saying 1
selfeducation 1
settled 1
shunned 1
society 1
something 1
spite 1
stasz 1
storynbsp 1
struggle 1
struggles 1
success 2
suicide 2
that 3
the 12
their 2
them 2
through 2
time 1
to 7
toil 1
tragic 1
two 1
uccess 1
uneducated 1
union 1
unrequited 1
until 1
was 1
wealth 2
what 1
which 2
who 2
whole 1
will 1
with 1
without 1
workingclass 2
would 1
writers 1
years 1
you 1
young 1
yourself 1
