2021674
/m/06fqhs
/m/06fqhs
Judy Blundell

a 1
ally 1
also 2
although 2
and 5
apprentice 1
apsolon 1
are 1
before 1
between 1
by 1
can 1
captured 1
classes 1
destroy 1
during 1
each 1
faction 2
feels 1
few 1
focused 1
for 2
go 1
group 1
he 1
heirs 1
his 1
however 2
in 1
investigate 2
is 4
it 1
jedi 1
jinn 1
joins 1
kenobi 1
killed 1
leads 1
league 1
learned 1
left 1
love 1
lower 1
mission 1
murder 1
must 1
new 1
obiwan 3
of 1
on 1
one 1
other 1
out 1
peace 1
planet 2
pledge 1
quickly 1
quigon 5
receive 1
rescuing 1
rogue 1
searching 1
she 1
soon 1
tahl 4
that 3
the 8
their 1
they 1
this 1
to 3
upper 1
were 1
with 1
