4118394
/m/0bk2vq
/m/0bk2vq
Piers Anthony
1982-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 10
additions 1
after 5
aisle 1
allows 1
an 1
and 14
anyone 1
are 2
area 1
arnolde 2
around 1
back 1
betrayal 1
border 1
but 2
by 1
captured 1
castle 1
centaur 4
centaura 1
centaurs 1
chet 2
citizens 1
communication 1
concept 1
correct 1
couple 1
creating 1
dealing 1
decide 1
decides 1
dinner 1
discipline 1
discover 1
does 1
dor 6
down 1
drear 1
dungeon 1
escaping 1
establish 1
eventually 1
exchanging 1
exiled 1
farewells 1
fate 1
field 1
find 5
for 4
former 1
friend 1
friends 2
from 2
gang 2
gathering 1
gathers 1
get 2
go 3
goes 1
golem 1
governing 1
group 1
grundy 1
has 1
having 1
he 2
help 2
helpful 1
him 2
his 7
horrible 1
however 1
ichabod 1
imprisonment 1
improvement 1
in 6
inanimate 1
information 1
interest 1
into 1
irene 1
iris 2
is 5
isle 1
it 1
keep 1
king 5
kingdom 1
land 1
last 1
leads 1
learn 1
leaves 1
leaving 1
left 1
line 1
little 1
locked 1
love 1
magic 2
magical 4
magician 1
minus 1
mission 1
mundania 6
must 2
named 2
needing 1
negative 1
new 2
nice 1
nonmagic 1
north 1
not 1
of 5
ogre 1
omen 2
on 2
plprzesmyk 1
plus 1
practice 1
proper 1
queen 1
quest 1
rainbow 1
recross 1
rescue 2
return 2
rightful 1
room 1
routes 1
scholar 1
smash 2
so 1
strand 1
struggle 1
supposed 1
surely 1
talent 3
talents 1
that 2
the 16
them 2
they 8
think 1
this 2
three 1
throne 1
time 2
to 16
trade 1
travel 1
trent 8
unknown 1
use 1
very 2
walls 1
was 1
week 1
weeks 1
were 1
what 1
when 2
where 1
which 1
while 1
whole 1
wife 1
willing 1
with 4
wrong 1
xanth 4
