1033043
/m/04016p
/m/04016p
Anne Rice
2003-10-28
a 11
about 3
again 1
alone 1
among 1
and 18
anger 1
are 1
as 7
at 3
away 2
baby 1
be 4
because 1
bed 1
beginning 1
beings 1
believes 1
bestowed 1
birth 1
blackwood 1
blood 3
body 1
brought 1
but 2
buys 1
by 4
can 2
cannot 1
canticle 1
causes 1
center 1
centered 1
child 1
civil 1
clan 1
comes 2
companion 1
conclusion 1
could 1
critical 1
current 1
dark 1
daughter 1
dear 1
decline 1
declines 1
designee 1
die 1
discovering 1
discovers 1
disease 1
dispatch 1
do 1
does 2
dramatic 1
dying 1
easily 1
end 1
enlists 1
exhausted 1
falls 1
family 3
final 1
find 1
finding 1
for 5
force 1
from 3
generations 1
genetic 1
gift 1
gifts 1
gives 1
go 2
guardian 1
guiding 1
half 1
has 3
haunted 1
he 5
hear 1
help 1
her 19
here 1
herself 1
highly 1
him 2
himself 1
his 1
hour 1
house 1
husband 1
if 2
in 11
inferior 1
information 1
instead 1
instructed 1
intending 1
into 1
intrigue 1
is 7
island 1
isolated 1
it 3
join 1
journeying 1
khayman 1
largely 1
lash 1
lays 1
learn 2
learns 3
leaving 1
legacy 1
lestat 13
life 1
live 2
lives 1
love 3
lover 1
maharet 3
makes 1
massive 1
mayfair 7
mayfairs 1
medical 1
mekare 1
michael 2
moments 1
mona 9
more 2
mysterious 1
named 1
narrated 1
nature 1
never 1
new 3
not 1
novel 2
now 1
of 12
on 2
orleans 2
out 3
pained 1
paradise 1
pines 1
place 1
plague 1
plays 1
pledges 1
potent 1
powerful 3
prevent 1
properly 1
protagonist 1
provides 1
quantities 1
quickly 1
quinn 5
race 1
remaining 1
remote 1
renewed 1
requesting 1
reveal 1
romantic 1
roses 2
rowan 6
safe 1
satisfy 1
search 1
secluded 1
secret 1
secretly 1
seeks 1
shared 1
she 9
short 1
situation 1
so 1
socalled 1
spend 1
still 2
story 1
struggles 1
take 1
taken 1
takes 1
taltos 5
tarquin 1
that 6
the 28
their 2
them 1
they 1
this 4
thoughts 1
three 1
time 1
to 14
together 1
transformation 1
trying 1
undergone 1
upon 1
vampire 2
vampires 2
vampirism 1
verbally 1
very 1
victim 1
vigor 1
walking 1
war 1
wasting 1
ways 1
well 1
were 1
what 1
when 1
where 2
who 2
witch 1
with 8
world 1
years 1
young 1
