25843962
/m/09v56dz
/m/09v56dz
Gordon Korman

{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 6
about 1
acting 1
after 1
all 3
also 1
and 8
animal 1
animals 5
are 2
attraction 1
back 2
believe 1
believes 1
ben 3
better 1
boat 1
both 1
but 3
by 2
cleo 2
cleopatra 1
climbing 1
computer 1
cruel 1
do 1
eleanor 1
entire 1
fails 1
field 1
find 2
free 2
friend 1
from 3
gather 1
get 2
griffin 3
guard 1
guarded 1
hands 1
has 2
have 1
heavily 1
height 1
help 1
her 4
hidden 1
his 1
how 1
in 1
is 3
island 1
it 2
just 1
keep 1
keeper 1
klaus 2
knows 1
leader 1
long 1
lost 1
luck 1
made 1
makes 1
mean 1
monkey 2
mr 1
must 3
named 2
nastase 4
nasty 1
newest 1
no 1
not 2
nothing 1
now 1
of 1
only 1
out 1
pet 1
pets 1
plan 1
realize 1
really 1
savannah 2
scene 1
security 1
see 1
seemingly 1
sees 1
she 2
skills 2
smarts 1
so 1
soon 1
stash 1
stealing 1
stolen 1
stop 2
strength 1
such 1
take 1
team 2
that 1
the 13
they 8
to 3
trip 1
trying 1
until 2
when 1
whom 1
zoo 6
zoos 1
