1889301
/m/063_4g
/m/063_4g
Piers Anthony
1979-02
a 10
abandon 1
ability 1
able 1
about 1
accession 1
across 1
act 1
advice 1
after 1
again 2
against 3
agrees 1
all 3
also 1
an 2
and 5
any 1
are 1
as 2
ask 1
at 2
attacked 2
attempting 1
back 1
ball 2
be 1
beauregard 1
because 1
before 1
below 1
bink 6
brain 1
but 1
by 6
calibre 1
can 2
castle 1
centaur 2
cherie 1
chester 1
circumstantial 1
come 2
condition 1
confides 1
convince 1
convinced 1
coral 1
could 1
crombie 3
decides 2
deep 1
deflects 1
demon 5
destroy 1
destruction 1
dilemma 1
discover 1
discovers 1
dor 1
dragon 1
due 1
enemies 1
enemy 1
escapes 1
events 1
eventually 2
face 1
faced 1
finally 1
find 3
first 1
floating 1
foolish 1
for 1
form 1
free 1
freeing 1
from 3
go 2
golem 1
good 1
gorgon 1
griffin 2
grundy 2
harm 2
he 6
heads 1
help 1
him 4
his 5
home 1
honor 1
hoping 1
humfrey 2
imprisoned 1
in 7
inanimate 1
including 1
into 1
intruders 1
iris 1
is 9
it 4
its 1
itself 1
keep 1
king 3
language 1
let 1
lets 1
living 1
look 1
madness 1
magic 7
magical 2
magician 2
magii 1
many 1
masquerade 1
meet 1
men 1
mission 1
moral 1
mundania 1
named 1
narrowly 1
negotiation 1
objects 1
obstacles 1
of 8
ogre 1
on 3
one 1
only 1
or 1
out 1
particularly 1
party 1
plrda 1
possesses 1
protect 1
protection 1
queen 1
quest 3
remove 1
result 1
return 1
seemingly 1
sending 1
sends 1
separated 1
series 1
shield 1
should 1
siren 1
soldier 1
some 1
son 1
source 3
speak 1
squawks 1
stay 1
stone 1
surface 1
sword 1
talent 5
talk 1
tangle 1
tell 1
tells 1
that 1
the 20
their 3
them 1
they 7
things 1
this 2
throne 1
through 1
time 1
to 19
transform 1
translate 1
trees 1
trent 4
turned 1
turns 1
under 1
understanding 1
unseen 1
upon 1
useful 1
using 1
wants 1
way 2
well 1
when 1
which 3
who 2
whose 3
will 2
with 1
xanth 6
year 1
