12207434
/m/02vvwwz
/m/02vvwwz
José Saramago
2002-03-22

a 2
amorphous 1
and 4
appear 1
around 1
as 1
ballots 1
begins 1
blank 1
blankvoters 1
blindness 2
casts 1
characters 1
country 1
destroy 1
doctor 2
election 1
featured 1
from 1
government 1
half 1
in 4
including 1
is 1
its 1
majority 1
members 1
nonmovement 1
novel 1
of 4
parliamentary 1
populace 1
revolves 1
same 1
second 1
seeing 1
set 1
simultaneously 1
story 2
struggles 1
the 11
they 1
to 1
try 1
understand 1
various 1
which 1
wife 1
with 1
