13221796
/m/03bzbft
/m/03bzbft
Michael Connelly
1998
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel"}
03 1
472 1
568 1
a 15
able 2
activity 1
actual 1
actually 1
after 2
again 1
against 1
agrees 1
alive 1
although 1
always 1
among 1
an 2
and 18
another 1
apologizes 1
are 1
as 4
asked 1
attribute 1
baja 1
be 2
because 2
become 1
been 1
begins 1
benefit 1
blood 2
boat 3
both 1
buried 1
but 5
by 4
california 1
call 1
called 1
cannoli 1
cannot 1
case 4
cases 2
celebrity 1
cleared 1
code 8
common 2
conceals 1
contact 1
contacted 1
continues 2
convenience 1
copy 1
creates 1
crime 1
criminal 1
death 3
deliberately 1
deputy 1
described 1
despite 1
did 1
died 1
directly 1
discovers 1
distinctive 1
doctor 2
donated 1
donor 1
dont 1
drive 1
drives 1
due 1
during 2
enforcement 1
even 1
evidence 2
examining 1
expecting 1
extent 1
extremely 1
fact 1
facts 1
fails 1
fbi 2
figures 1
files 2
find 2
finds 4
first 1
fishing 1
focus 1
following 1
for 3
force 1
forget 1
from 5
get 2
gets 1
gloria 7
godfather 1
graciela 5
gun 1
had 4
handling 1
happened 1
has 3
he 17
head 1
heart 3
help 1
her 2
him 4
his 12
hostile 1
however 1
identifying 1
if 1
illness 1
implicating 1
in 2
inactive 2
include 1
increasingly 1
incriminating 1
information 3
interview 1
interviews 1
investigate 2
is 8
it 1
james 1
jaye 3
kidnapped 1
kill 1
killed 1
killer 11
killing 1
labased 1
law 1
leading 1
learn 1
learned 1
learns 1
line 1
linked 1
list 1
little 1
living 1
locate 1
location 1
man 1
match 1
matches 1
mccaleb 12
medical 1
mexico 1
minor 1
most 1
much 2
murder 1
needed 1
nephew 1
new 2
ninedigit 1
no 1
noone 5
not 1
notes 1
now 1
occurred 1
of 10
officials 1
on 8
one 3
only 2
organ 1
out 1
overpowered 1
people 2
personal 1
placed 1
plant 1
plus 1
police 3
possible 1
potential 1
prevent 1
previously 1
prior 1
problems 1
profiler 1
prove 1
raymond 3
real 1
realizes 1
really 1
receiving 1
recipient 1
rejection 1
relationship 1
reluctantly 1
reporting 1
rescue 1
retired 1
return 1
rift 1
rivers 1
robbery 1
said 1
says 1
search 1
second 1
secretly 1
serial 1
serious 1
sheriff 1
shooting 3
signed 1
similar 1
sister 1
slightly 1
so 1
son 1
still 1
store 1
style 1
support 1
supposed 1
surprisingly 1
suspect 1
targeted 1
task 1
tells 1
terrell 1
terry 1
that 15
the 42
their 1
them 1
then 5
third 1
this 1
three 1
through 1
thus 1
to 24
trace 1
transplant 1
two 2
types 1
unsolved 1
upon 1
use 1
uses 1
vacation 1
victims 2
warrant 1
was 4
went 1
were 1
what 1
which 2
who 4
winston 4
wishes 1
with 4
witness 1
would 1
zodiac 1
