20603188
/m/0522qcy
/m/0522qcy
Bruce R. Cordell
2008-05
{"/m/06c9r": "Role-playing game"}
a 6
ambushed 1
an 1
and 3
are 3
army 1
arrival 1
asked 1
at 2
being 1
by 2
clean 1
climactic 1
confrontation 1
connect 1
contains 1
crypts 1
demon 1
descend 1
discover 1
final 1
he 1
in 3
is 2
its 1
journey 1
kalarel 3
keep 2
kobold 2
kobolds 2
lairing 1
local 1
longsealed 1
material 1
menaced 1
nentir 1
nest 1
of 6
on 1
open 1
orcus 2
out 1
pawn 1
plane 1
plans 1
players 3
priest 1
prince 1
raiders 1
region 1
resulting 1
rift 2
ruined 1
shadow 1
shadowfell 2
soon 1
temple 1
the 12
their 1
thereby 1
these 1
they 1
this 1
through 1
to 7
undead 1
undeath 2
unleash 1
unsuspecting 1
upon 2
vale 1
village 1
way 1
which 1
winterhaven 3
with 1
world 1
