23247015
/m/065yxy5
/m/065yxy5
Joyce Carol Oates
2006-08-22
{"/m/03mfnf": "Young adult literature"}
a 1
abbott 1
about 1
alone 1
and 4
biker 1
blue 1
body 1
bridge 1
broken 1
cabinet 1
can 1
car 1
classmate 1
confide 1
crow 1
dies 1
drugfilled 1
drugs 1
experienced 1
feels 1
for 1
from 1
guilt 1
haze 1
her 4
hospital 1
in 4
is 1
jenna 1
life 1
longs 1
lost 1
medicine 1
misery 1
mother 1
mysterious 1
nearly 1
of 1
off 1
on 2
one 1
path 1
peace 1
person 1
selfdestructive 1
setting 1
she 4
spirit 1
steals 1
that 1
the 7
took 1
uncle 1
wreck 1
