26208023
/m/0b7624n
/m/0b7624n
Sharon Penman
2008
{"/m/02p0szs": "Historical fiction"}
1172 1
18 1
a 3
against 4
aligning 1
among 1
and 13
angevin 1
aquitaine 3
as 1
at 2
bedside 1
been 1
began 1
beginning 1
between 1
breaks 1
brood 2
brothers 1
builds 1
by 1
chance 1
choose 1
christ 1
conflict 2
consequences 1
continued 1
continues 1
decade 1
decades 1
desire 1
devil 2
dies 1
during 1
each 2
eleanor 4
empire 1
end 1
enemy 1
england 1
enter 1
escalates 1
father 1
final 1
first 1
for 2
four 3
france 2
franceengland 1
geoffrey 1
goes 1
grown 1
hal 1
has 1
have 2
he 1
henry 8
her 4
his 4
household 1
husband 1
ii 2
imprisoned 2
in 6
into 2
john 1
king 1
knights 1
life 1
louis 1
married 1
mother 2
novel 1
of 8
only 1
opens 2
other 1
out 1
period 1
piece 1
pitting 1
plot 1
process 1
rebellion 3
richard 1
rule 1
saints 1
slept 1
sons 6
spends 1
story 1
successor 1
territory 1
that 1
the 15
their 2
themselves 1
then 1
they 1
time 1
to 3
vii 1
want 1
war 2
warfare 1
weakens 1
when 2
which 1
while 2
wife 1
with 6
years 1
