22999045
/m/05v6yw3
/m/05v6yw3
Dave Cullen
2009-04
{"/m/03g3w": "History", "/m/0g6p2": "Popular culture", "/m/01pwbn": "True crime"}
a 5
according 2
accounts 2
after 3
aftermath 1
agent 1
alleged 1
also 1
alternating 1
an 1
and 9
angry 1
another 1
are 3
assembly 1
at 1
attack 1
back 1
before 5
begins 1
bernall 1
bibliography 1
book 4
boy 1
by 1
cassie 1
chapters 4
christian 2
christians 1
chronicled 1
cited 1
columbine 2
community 1
composed 2
contains 1
danny 1
dave 1
day 1
days 1
deangelis 2
depicted 1
depressive 1
detailed 1
died 1
dispersed 1
down 1
downward 1
during 1
dwayne 1
dylan 1
early 1
eight 1
endnotes 1
eric 1
etc 1
ethics 1
evangelical 1
evidence 1
evolution 1
experts 1
families 1
fbi 1
female 1
feverish 1
fifteenpage 1
fiftythree 1
five 2
flashbacks 1
focused 1
focuses 1
formally 1
four 2
frank 1
from 2
fuselier 1
government 1
graphically 1
gunmen 1
harris 1
has 1
here 1
heroic 1
high 1
hostages 1
hosted 1
in 4
including 1
individuals 1
into 1
ireland 1
is 2
judgment 1
just 1
key 1
killers 2
klebold 1
later 1
lawsuits 1
like 1
main 1
major 1
martyr 1
massacre 2
media 1
murder 1
myth 1
of 7
on 2
one 1
organized 1
pages 1
part 5
parts 1
patrick 1
played 1
police 1
primarily 1
principal 2
prom 1
protocols 1
psychopath 1
psychopathy 1
reports 1
response 2
rohrbough 1
role 1
sanders 1
saving 1
scenes 1
school 3
shorter 1
special 1
spiral 1
story 3
storylines 1
students 1
substories 1
supervisory 1
survivors 2
take 1
teacher 1
terrorists 1
textbook 1
the 24
there 1
three 1
through 2
timeline 1
to 2
told 1
topics 1
toward 1
twentysix 1
two 2
victim 1
was 2
weekend 1
who 2
window 1
years 1
