29610017
/m/0fpgp2x
/m/0fpgp2x
Margery Allingham
1958
{"/m/0lsxr": "Crime Fiction"}
a 2
advice 1
albert 1
alibis 1
an 1
and 2
begin 1
bus 1
but 1
calls 1
campion 1
charles 1
come 1
country 1
curios 1
do 1
driver 1
east 1
end 1
ensues 1
for 1
giant 1
has 1
he 1
his 2
how 1
in 3
is 1
it 1
lagonda 1
link 1
london 1
luke 1
murder 1
museum 1
night 1
not 1
of 1
old 1
on 1
parks 1
rainy 1
scrapyard 1
smooth 1
superintendent 1
that 1
the 4
theatreland 1
theories 1
they 1
to 1
together 1
until 1
wellarranged 1
with 2
