27177274
/m/0bwlrjs
/m/0bwlrjs
Alan Ayckbourn


1 2
2 2
50th 1
a 89
ability 1
about 5
abuse 2
accepting 1
accosts 1
acts 1
add 1
admits 1
advances 2
adventure 1
advice 1
affair 8
affairs 3
after 9
again 2
against 1
agents 1
agrees 1
al 1
almost 1
alone 1
along 1
already 3
although 1
an 13
and 106
anne 1
announces 1
announcing 1
another 1
answer 2
apologises 1
apology 1
apparently 1
appearance 1
appears 1
approached 1
approaches 1
are 15
arranges 1
arrives 1
as 7
ask 1
asked 2
asks 7
at 8
attack 1
attacks 1
attending 1
australia 1
author 1
available 1
avoid 1
away 3
back 3
badly 1
baked 1
baker 1
bakery 1
baking 1
bat 1
bathroom 1
bb 1
be 7
because 1
become 2
bed 1
been 6
before 2
begin 1
begins 2
begs 1
behalf 1
behaviour 1
behind 1
being 1
bell 1
bemoan 1
berates 1
best 1
better 2
big 1
bit 2
bloody 2
blowing 1
board 2
boiler 1
bombshell 1
boring 1
both 3
boudicca 3
brain 1
branwell 1
bread 1
breakdown 2
brings 1
british 1
broken 1
builders 1
building 1
bump 1
bumps 1
bunker 1
busily 1
business 5
busy 1
but 10
by 12
called 1
calls 2
can 18
career 1
caretaker 2
caring 2
carries 1
carry 3
catering 1
cavorting 1
celebrates 1
celebration 1
celia 54
ceremony 1
chairman 1
champagne 1
chance 5
change 2
changing 1
charlotte 1
chauffeur 1
children 2
christening 1
cigarette 2
cigarettes 2
cleaning 3
clearing 2
cliff 1
clothes 1
club 1
coastal 1
coastline 1
coffee 1
come 6
comes 1
coming 1
commit 1
common 1
complaining 1
confessions 1
confides 1
consequential 1
constant 1
continue 1
continuing 1
control 1
convenience 1
coombes 2
country 1
crazy 1
cream 1
creating 1
cricket 2
cucumber 1
culminating 1
date 2
day 4
days 3
deadend 1
deal 1
decides 2
decision 1
dedicated 1
delayed 1
demonstration 1
depressed 1
descends 2
desperately 1
deteriorated 1
deteriorating 1
devastated 1
devoted 1
died 2
different 1
dinner 6
dirty 1
disappeared 1
do 1
does 2
doing 2
doorbell 2
down 4
dreams 1
dressed 1
drinking 2
drinks 1
driven 1
drop 1
dropped 1
drops 3
dump 1
during 1
duties 1
each 3
early 1
easter 1
eat 1
education 1
effort 1
either 15
emerges 2
emily 1
end 2
ends 1
enjoy 1
enough 1
estate 1
events 1
ever 3
everything 1
except 1
excited 1
exciting 1
failed 1
failing 1
fallen 1
family 3
fastfood 1
fear 1
fed 2
feet 1
fell 1
festival 1
fetch 3
few 1
fidelity 1
fields 1
fight 4
figure 1
finally 3
find 2
finished 1
finishing 1
fire 2
fired 1
first 4
five 30
fog 2
followed 1
food 1
for 31
forced 2
forces 1
forget 1
forward 1
found 1
freezedried 1
fresco 1
fret 1
friend 1
friends 1
friendship 1
from 13
frustration 1
fte 2
fun 3
funeral 2
future 1
game 1
garden 4
gardener 2
gardening 1
get 4
gets 1
getting 6
give 5
given 1
gives 3
glad 1
go 35
godfather 1
goes 3
going 4
golf 1
gone 1
good 2
gossip 1
gourmet 1
governors 1
grave 1
great 1
greeted 1
greetings 1
groundsman 1
guts 1
had 2
half 1
halves 2
hand 1
handling 1
happily 1
happiness 2
harsh 1
