2181558
/m/06s_1s
/m/06s_1s
Robert Ludlum
1977-06
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
a 3
after 1
also 1
ambitions 1
an 1
as 1
author 1
become 1
brass 1
called 1
chancellor 2
close 1
comes 1
conspiracy 1
controlled 1
decide 1
described 1
else 1
end 1
enough 1
fiction 1
files 1
follows 1
for 1
found 1
frustrated 1
group 1
he 1
himself 1
his 2
historian 1
if 1
in 3
international 1
intrigue 1
inver 1
it 1
knew 1
know 1
left 1
ludlum 1
may 1
much 1
not 1
novel 1
of 4
people 1
peter 2
political 1
protagonist 1
reader 1
scenario 1
sets 1
someone 1
stage 1
story 2
success 1
that 4
the 10
this 1
those 1
thrillers 1
to 2
too 1
unlikely 1
was 1
were 1
who 3
wondering 1
work 1
writes 1
