816276
/m/03dvm_
/m/03dvm_
Terry Brooks
1985-04-12
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
3 1
a 16
across 1
after 5
aftermath 1
again 2
against 1
aid 1
all 3
allanon 11
almost 1
along 2
an 2
ancient 2
and 26
another 1
anyone 1
appearance 1
appeared 1
as 5
asked 1
assistance 1
assumed 1
at 6
back 1
be 1
became 2
because 1
been 2
before 2
began 2
begin 1
being 1
black 1
body 1
boh 1
book 6
born 1
brin 14
brona 3
brother 1
buried 1
but 7
by 10
came 1
captured 1
castle 1
cat 1
caught 1
cogline 1
companions 1
company 1
control 1
countless 1
coveted 1
created 1
creature 2
culhaven 2
dark 3
dawn 1
dead 1
decided 1
defeat 1
deformed 1
delivered 1
demon 1
demons 1
despite 1
destroy 2
destroyed 2
destruction 2
die 1
died 1
dipped 1
druid 2
druids 2
due 1
dwarves 2
east 1
eastland 2
elfstones 2
enable 1
end 1
enslaved 1
enter 1
entranced 1
escape 1
essence 1
eventually 1
evil 1
exchange 1
fade 1
faerie 1
failed 1
finally 2
find 1
first 1
foot 1
for 3
found 4
freed 1
from 4
full 1
garet 3
gathered 1
gave 1
generation 2
given 1
gnome 5
gnomes 2
go 1
granddaughter 1
great 1
greatgrandson 1
group 1
had 5
hadeshorn 1
halls 1
harmless 1
he 19
head 1
headed 1
help 2
helped 1
helping 1
helplessly 1
her 12
here 1
herself 1
highlands 1
him 6
himself 1
his 10
home 4
hope 2
hopeless 1
hopes 1
horrified 1
house 2
however 2
human 1
ildatch 4
illusions 1
in 12
including 1
inform 1
informed 2
insane 1
into 2
is 5
it 9
its 4
itself 1
jachyra 1
jair 11
jax 3
joined 1
journey 1
jungle 1
just 1
killed 1
kills 1
kimber 1
king 1
kingdom 1
knew 1
knowledge 1
last 2
later 1
leah 3
leaving 1
left 4
like 1
line 1
living 2
long 2
lord 3
lore 1
love 1
maelmord 1
magic 3
magics 1
man 1
mankind 1
many 2
marked 1
master 2
meanwhile 1
menion 1
met 2
millennia 1
moment 1
moor 1
mord 5
more 1
mortally 1
mortals 1
mysterious 1
named 1
nearly 1
needed 2
never 1
new 2
no 1
north 2
not 1
of 32
off 1
offered 1
ohmsford 1
ohmsfords 1
old 1
older 1
on 6
once 1
one 1
ordinary 1
others 1
out 2
over 3
own 2
paranor 1
parents 1
partially 1
passing 1
patrol 3
people 1
pick 1
pleas 1
poisoned 1
possessed 2
power 3
presence 1
pressed 1
price 1
protect 2
purified 1
purify 1
quest 1
ran 1
reached 1
read 2
recovered 1
remained 1
reminded 1
retrieve 1
returned 2
revealed 1
river 4
rone 3
said 1
searching 1
secrets 1
seemed 1
sent 1
servants 1
sets 1
several 1
sewers 1
shade 1
shady 1
shannara 1
she 4
shea 1
siblings 1
silver 4
sister 1
skeletal 1
skilled 1
skull 1
slanter 7
small 2
snap 1
snapped 1
sneaking 1
so 1
some 1
soon 2
sought 1
source 1
stronghold 1
stumbled 2
subverted 1
succeed 1
summoned 1
sword 3
tamed 1
techniques 1
that 9
the 72
their 3
them 2
themselves 1
then 3
there 1
they 2
thing 1
this 1
thought 1
three 1
thus 1
to 34
told 1
tome 1
tool 1
tracking 2
trance 2
transpired 1
trek 1
tried 1
triumphed 1
trouble 1
trust 1
unable 1
unconscious 1
uncovered 1
unless 1
until 2
up 2
use 2
vale 1
very 1
visit 1
walkers 1
wanted 1
warlock 3
warrior 1
wars 1
was 20
watch 1
watched 1
waters 1
way 1
weapons 2
went 2
were 1
what 1
when 4
where 1
which 2
while 1
whisper 1
who 5
wield 1
wields 1
will 1
wishsong 2
with 7
word 1
world 2
would 3
wounded 1
wraiths 6
