11147696
/m/02r1lzv
/m/02r1lzv
Ron Suskind
1998-06
a 9
acceptance 2
after 1
alive 1
an 1
and 5
any 1
array 1
as 1
at 5
attention 1
back 1
backgrounds 1
ballou 1
behind 1
besieged 1
bewildering 1
blacks 1
brown 2
but 2
by 1
can 1
cedric 4
challenge 1
challenges 1
college 1
come 1
common 1
dangerous 1
day 1
dc 1
depends 1
determination 1
discovers 1
does 1
down 1
each 1
either 1
envision 1
faceon 1
faith 1
far 2
finally 1
find 1
finding 1
fit 1
fleeting 1
for 1
freshmen 1
from 2
future 1
gets 1
glimpse 2
had 1
has 1
have 1
having 1
he 6
heads 1
high 1
himself 1
his 8
honor 1
hope 1
hoped 1
if 1
in 5
innercity 1
intellectual 1
intelligence 1
into 2
is 1
it 1
itand 1
ivy 1
jennings 1
junior 1
keep 2
kids 1
know 1
later 1
league 1
learned 1
left 1
life 2
like 1
little 1
make 1
manage 1
many 1
middleclass 1
minorities 1
mit 1
most 2
mother 1
must 1
not 1
of 6
on 2
one 1
or 1
other 1
outside 1
place 2
pride 1
privileged 1
program 1
rely 1
reward 1
school 2
senior 1
social 1
special 1
strives 1
struggles 1
students 2
studies 1
summer 1
support 1
swallow 1
target 1
that 4
the 5
their 1
they 1
this 1
to 6
too 1
traveled 1
turn 1
turns 1
university 1
unseena 1
unwavering 1
violence 2
washington 1
white 1
whom 1
will 1
with 2
would 1
year 2
you 1
