8832390
/m/027l9kr
/m/027l9kr
Jonathan Kellerman
1985
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 2
alex 3
among 1
an 1
and 2
another 1
apartment 1
as 1
before 1
begin 1
behind 1
brand 1
brutally 1
buried 1
but 2
claims 1
delaware 2
discovers 1
do 1
dr 2
evil 1
expose 1
extortion 1
for 1
fraud 1
girl 1
hander 2
have 2
he 1
his 4
in 4
incident 1
innocent 1
it 3
job 1
leads 1
lies 1
luxurious 1
manipulation 1
melody 2
memory 1
mind 1
morton 1
murdered 1
must 1
mystery 1
no 1
of 1
one 1
own 1
pacific 1
paid 1
palisades 1
past 1
police 1
possible 1
practiced 1
psychiatry 1
psychologist 1
quinn 1
secret 1
sevenyearold 1
sexual 1
shadows 1
shape 1
shocking 1
sinister 1
sins 1
specialties 1
strange 1
take 1
terrible 1
that 2
the 5
they 1
to 3
touches 1
try 1
unlock 1
unspeakable 1
victim 1
was 1
were 1
when 1
witness 1
