17435050
/m/04d_3r0
/m/04d_3r0
Mercedes Lackey
1996
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 9
able 1
about 1
abuse 1
afterwards 1
all 2
already 1
an 2
and 13
anger 1
animals 1
are 3
around 1
as 4
asleep 1
at 2
awake 1
be 2
beautiful 1
being 1
both 1
brings 1
brothers 1
but 1
castle 1
catch 1
catches 1
causing 1
charms 1
cherries 2
cherry 1
clever 1
clothespins 1
constantly 1
contend 1
culprit 2
curious 1
cursed 1
dairy 1
days 1
disappear 1
discovery 1
dismal 1
early 1
eats 1
eight 1
elderly 1
enormous 1
enough 1
falling 1
father 1
fear 1
finds 1
fire 1
firebird 2
fit 1
fittest 1
fool 1
for 4
forest 1
found 1
free 1
freedom 1
friends 1
gift 1
girl 1
great 2
halfwitted 1
has 1
hawk 1
he 8
her 1
him 4
himself 1
his 9
horse 1
household 1
however 2
ilya 5
immortal 1
in 5
intellect 1
is 5
isnt 1
ivan 2
jealous 1
kashchei 1
leads 1
legendary 1
life 2
losing 1
love 1
luck 1
man 1
manages 1
more 1
most 1
must 1
named 2
night 1
none 1
of 10
on 1
once 1
one 1
only 1
orchard 2
overcompetitive 1
pass 1
philosophy 1
phoenix 1
powerful 1
pretending 1
priest 1
prince 1
princess 2
prized 1
promises 1
proves 1
quiet 1
rage 1
reach 1
realizes 1
remains 2
revolves 1
reward 1
rewarded 1
ripe 1
runs 1
russian 1
saves 1
see 1
shaman 1
shocked 1
silence 1
similar 1
some 1
sons 1
soon 2
speak 1
spends 1
stay 1
story 1
stumbles 1
takes 1
tatiana 2
terrible 1
that 1
the 24
them 1
thief 1
this 1
through 1
to 12
tree 1
tsar 1
turn 1
unknown 1
unwanted 1
upon 1
urvival 1
use 2
useless 1
visits 1
wandering 1
well 1
what 1
when 1
where 1
which 1
who 4
whoever 1
win 1
winter 1
with 5
within 1
without 1
wits 1
woman 1
world 1
worse 1
young 1
