664292
/m/030ysj
/m/030ysj
Daniel Handler
2000-02
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/06www": "Steampunk", "/m/0pym5": "Absurdist fiction"}
a 14
about 2
across 3
actually 1
admits 1
after 6
all 1
allergic 1
almost 1
already 2
also 1
although 1
an 6
and 25
angered 1
ankle 2
another 1
anxious 1
any 1
anyone 1
are 5
arrived 1
arrives 1
arriving 1
as 6
associate 1
at 3
attack 2
aunt 12
awakened 1
away 1
back 4
banana 1
baudelaires 7
be 2
bearing 1
because 2
becomes 1
been 1
before 2
begins 2
behind 2
being 2
bites 1
blind 1
boat 5
book 1
breaking 1
broken 1
business 1
but 8
by 8
call 1
can 1
cannot 2
captain 6
card 1
cave 3
chair 1
charming 1
chase 1
children 11
claims 2
cliff 1
clown 1
coded 1
come 1
coming 1
committing 1
company 3
consumed 1
containing 1
convince 1
convinces 1
count 2
crash 1
crumbles 1
curdled 2
damocles 1
decide 1
depths 1
developed 1
devour 1
devoured 1
died 1
discovers 1
discussing 1
disguise 2
do 1
dock 1
docks 2
done 1
doorknobs 1
down 3
eaten 3
encoded 1
enormous 2
enough 1
error 1
errors 1
escape 1
escaping 1
even 1
ever 1
eye 2
fake 2
falls 1
far 1
fear 1
fears 1
filled 1
fills 1
find 2
finds 1
flees 1
food 3
for 2
forced 1
form 1
frantically 1
frightened 1
from 1
furthermore 1
fusses 1
give 2
given 1
go 1
grammar 2
grammatical 2
guarded 1
guardian 3
had 1
hand 1
has 6
have 1
havent 1
having 2
he 3
head 1
help 1
henchmen 1
her 9
herman 2
hiding 2
him 2
his 7
home 1
hour 1
house 5
household 1
hurricane 2
hurry 1
husband 1
identity 1
if 1
ike 1
implied 1
in 10
insisting 1
instead 1
into 2
invents 1
irrational 1
is 17
it 8
join 1
josephine 14
just 1
kind 1
klaus 3
lachrymose 8
lake 9
last 1
later 1
leaving 1
leeches 6
leg 4
let 1
library 3
life 1
lightning 1
like 1
listen 1
lives 1
looks 1
lost 1
loud 1
loves 1
man 1
manage 1
many 2
map 1
matters 1
meet 1
message 1
miraculously 1
mistakes 1
more 1
mr 7
named 1
narrowly 1
neither 1
never 1
new 3
night 1
nor 1
not 1
note 6
obtain 1
of 10
off 1
offering 1
olaf 5
old 1
on 4
once 1
one 3
only 2
or 1
orphans 1
other 1
outsmarts 1
oven 1
over 1
overlooks 1
own 1
owner 1
peppermints 1
phone 1
pleads 1
poe 7
possesses 1
possessions 1
presumably 1
promising 1
proof 1
prove 2
purposefully 1
pushes 1
puzzled 1
radiator 1
ram 1
rather 1
reaction 1
realtors 1
refrigerator 1
regenerated 1
rental 3
rescues 1
room 1
rush 1
sail 1
sailing 1
says 1
search 1
seen 1
sham 16
she 8
shocked 1
shore 1
shortly 1
should 1
siblings 1
signal 1
since 3
sinks 1
slide 1
smell 1
so 1
something 1
somewhere 1
spare 1
speech 1
spelling 2
start 1
steal 1
stilts 1
struck 1
subject 1
successfully 1
suicide 3
sunny 3
supplies 1
supports 1
suspicions 1
suspicious 1
takes 1
tattoo 2
telephone 1
tell 2
tells 1
terrible 1
than 1
that 11
the 69
their 6
them 5
there 1
they 8
theyre 1
things 1
this 1
three 1
threw 1
through 1
time 1
to 22
touch 1
town 1
trivial 1
unmasked 1
up 1
using 1
violet 2
warn 1
was 1
watch 1
water 3
went 1
when 3
where 3
which 2
while 1
who 1
wide 1
will 1
window 4
with 7
within 1
woman 2
wont 2
wooden 2
words 1
would 1
write 1
writing 1
written 1
