4105047
/m/0bj9lf
/m/0bj9lf
Andy Griffiths
2001
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
2003 1
2005 1
a 7
all 1
and 8
are 2
australia 1
awards 1
be 1
blows 1
body 1
book 1
building 1
bum 5
bumageddon 1
bumcano 3
bumhunter 1
bumrelated 1
bums 5
by 3
chance 1
characters 1
children 2
choice 1
constantly 2
create 1
daughter 1
desert 1
detaching 1
eleanor 1
encounter 1
enlist 1
eruption 1
every 1
fart 1
final 1
flying 1
followed 1
follows 1
for 2
fortunately 1
freeman 1
friends 1
from 2
gas 1
great 3
he 2
heads 1
help 1
his 3
huge 1
humans 1
humour 1
in 4
including 1
introduced 1
is 5
it 1
itself 1
kicker 1
kisser 1
learns 1
life 1
massive 1
meets 1
methane 1
milked 1
naturally 1
ned 1
night 1
number 1
of 5
off 1
one 1
opportunity 1
over 1
places 2
plan 1
plot 1
pongflict 1
possible 1
prevent 1
quantity 1
realities 1
rendered 1
running 1
seize 1
silas 1
smacker 1
smelly 1
specifically 1
squadrons 1
stenchgantor 1
sterne 1
switch 1
take 1
that 1
the 18
their 2
there 1
they 1
things 1
this 1
threat 1
to 4
toilet 1
unconscious 2
unwiped 1
up 1
uranus 1
variety 1
when 2
where 1
which 1
while 1
white 1
will 2
windy 1
with 1
won 1
world 2
worldwide 1
zack 2
zombie 1
