5421868
/m/0dl4k6
/m/0dl4k6
Hans Christian Andersen
1835-05-08
{"/m/0dwly": "Children's literature"}
a 19
adventure 1
after 1
again 2
air 1
all 2
and 21
anything 1
apartment 2
appear 1
appears 1
are 3
asks 2
at 1
attic 1
away 1
be 1
beauty 1
before 1
boy 1
bring 2
but 2
buys 1
by 1
can 1
cannot 1
carried 1
chalk 1
chambers 2
city 1
clapped 1
climb 1
closely 1
clothing 1
coins 1
common 1
councilors 1
couple 1
dark 1
dashed 1
day 1
death 1
demands 1
depleted 1
desires 1
discovered 1
discovers 1
dog 2
dogs 5
doors 1
dream 1
dwelling 1
earth 1
enters 1
eventually 2
execution 1
eyes 4
fall 1
feast 1
filled 4
fills 1
find 1
finds 3
flour 1
following 2
for 1
forced 1
foretold 1
friends 1
from 2
gives 1
giving 1
gold 1
guarded 1
guards 3
had 1
has 1
have 1
he 15
head 1
her 12
him 3
himself 1
his 6
hollow 1
home 1
in 7
inside 1
interest 1
into 2
is 6
join 1
judge 1
kept 1
king 1
kisses 1
large 1
last 1
learns 1
light 1
live 1
lives 2
locked 1
lops 1
magic 1
magnificent 1
makes 1
man 1
many 1
marks 1
marriage 1
meets 1
money 3
monstrous 2
morning 1
must 1
neighborhood 1
night 2
nights 1
of 9
off 1
on 2
one 5
opens 1
order 1
orders 1
overwhelmed 1
parents 1
pennies 1
permission 1
pieces 1
piqued 1
pockets 1
poor 1
precious 1
princess 5
prison 1
prophecy 1
queen 1
realizes 1
reason 1
recalls 1
relates 1
retrieve 1
return 2
returning 1
returns 1
room 1
royal 1
satisfied 1
scaffold 1
scene 1
see 2
sends 2
sentenced 1
she 3
silver 1
size 4
smoke 1
soldier 10
spends 1
splendid 1
splendidly 1
story 2
strange 1
strikes 3
subterranean 1
summon 1
supperplates 1
sword 1
take 1
teacups 2
tells 1
the 48
their 1
them 1
then 3
they 3
three 4
tinderbox 8
to 19
toss 1
tower 3
trail 1
tree 2
united 1
unsuccessfully 1
use 1
vault 3
wants 1
war 1
watch 1
wedding 1
when 3
where 1
whereabouts 1
whim 1
who 4
windmills 1
witch 3
with 12
without 1
