11560755
/m/02rj5wj
/m/02rj5wj
Erin Hunter
2007-04-24
a 8
aback 1
about 2
after 5
allies 1
alone 1
along 1
already 1
also 1
an 1
and 13
another 2
as 1
ashamed 1
asks 3
assures 1
at 1
attempt 1
away 1
back 2
battles 1
be 3
been 1
before 1
being 2
better 1
but 2
by 5
calls 1
cannot 1
cat 1
catch 1
cats 1
changes 1
clan 2
clans 1
collapsing 1
come 1
companion 1
could 1
daughter 1
days 1
deceased 1
decision 1
deforest 1
discovers 1
dont 1
dream 2
duke 3
each 1
ends 1
even 1
exhaustion 1
family 1
feathertail 1
fellow 1
female 1
feverish 1
fight 3
finally 1
find 1
finds 1
flee 2
for 2
forced 1
forest 2
from 4
get 1
gets 1
getting 1
goes 1
graystripe 8
has 2
he 12
health 1
her 5
him 9
his 9
home 1
house 1
how 1
human 1
humans 1
hunt 1
in 8
is 7
it 1
kidnapped 1
kits 1
kittypet 2
know 1
later 1
learning 1
leaves 1
led 1
life 1
likes 1
longer 1
losing 1
lost 3
makes 2
mate 1
meeting 1
meets 1
middle 1
millie 5
mind 1
name 1
named 2
narration 1
nest 1
no 1
nothing 1
nurses 1
of 4
off 1
opens 1
other 1
out 1
place 1
previous 1
realize 1
refusal 1
reminds 1
resides 1
rest 1
return 1
separated 1
set 1
she 3
shows 1
silverstream 6
small 1
somewhat 1
stand 1
staying 1
taken 2
teach 1
tells 2
that 5
the 12
their 1
then 4
they 1
thunderclan 7
to 21
traveling 1
try 2
trying 1
two 2
twoleg 1
twolegplace 3
twolegs 1
up 2
upon 1
visited 1
warrior 2
warriors 1
was 1
weak 1
what 1
which 1
who 2
wishes 1
with 7
