352805
/m/01zhl4
/m/01zhl4
Soseki Natsume
1914
112 1
114 1
a 9
after 2
also 1
an 1
and 13
any 1
are 1
as 4
await 1
befriends 1
began 1
being 1
between 1
but 3
by 3
characters 1
cheated 2
childhood 1
committed 1
confessed 1
convinced 1
country 1
dark 1
daughter 2
days 1
death 3
decision 1
details 1
dire 1
distance 1
divided 1
dying 1
earlier 1
emperor 1
explain 1
faith 1
father 2
fell 2
felt 1
few 1
find 1
first 1
following 1
for 2
fortune 1
friend 4
from 1
full 1
general 1
given 1
gradually 1
graduates 1
grave 1
guileless 1
guilt 1
had 1
he 5
heart 1
heavy 1
her 1
him 1
himself 1
his 17
home 1
horrified 1
humanity 1
i 2
impulses 1
in 13
interacting 1
into 1
is 4
it 1
jealousy 1
k 4
known 1
landlady 1
later 2
letter 2
lies 1
life 2
lives 1
living 1
lost 1
love 3
lurking 1
maintaining 1
man 1
maresuke 1
marriage 1
meiji 1
moment 1
most 2
move 1
moved 1
my 1
names 1
narrator 5
nogi 1
not 1
novel 2
occasional 1
of 10
older 1
only 3
out 1
own 3
parents 1
part 3
parts 1
present 1
previous 1
prompted 1
proposed 1
real 1
receives 1
recluse 1
recounted 1
recovered 1
refuses 1
regularly 1
result 1
returns 1
reveals 1
same 1
second 1
sensei 10
set 1
shocked 1
shortly 1
still 1
straits 1
student 1
suicide 2
take 1
tell 1
testament 1
that 1
the 22
them 1
then 1
third 1
this 1
three 1
to 10
tokyo 1
uncle 2
university 2
unseen 1
visitors 1
visits 1
was 5
which 1
who 3
whom 1
widow 1
wife 1
with 5
writing 1
written 1
years 1
