664302
/m/030yw9
/m/030yw9
Daniel Handler
2003-09-23
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/06www": "Steampunk", "/m/05hgj": "Novel", "/m/0pym5": "Absurdist fiction"}
a 26
about 2
academy 1
actually 1
adults 1
after 2
again 1
agrees 1
air 1
along 1
also 2
an 2
and 43
announce 1
any 1
apart 1
are 8
arrive 1
as 4
associates 2
associateshenchmen 1
at 3
attachment 1
austere 1
baby 1
back 2
bait 1
barters 1
baudelaire 3
baudelaires 2
be 5
beard 2
been 1
being 1
believed 1
better 1
between 1
book 1
bottom 3
bowl 1
boy 3
brake 1
breakfast 1
bruce 1
burned 3
burnt 1
but 7
by 5
call 1
can 2
cannot 1
captive 1
caravan 2
carmelita 3
carnival 1
carnivorous 1
casserole 1
caught 1
cave 1
children 3
chimney 1
chute 1
cigarette 1
cigarettes 1
claiming 1
claims 1
cliff 1
climb 2
clues 1
come 1
coming 1
commenting 1
control 1
convince 1
convinced 1
cook 1
count 6
cruel 1
daughter 1
dead 1
demand 1
deprived 1
desperately 1
device 6
devises 1
dig 1
discovering 2
disgusting 1
dish 2
diversion 1
dont 1
down 8
drag 1
during 1
each 1
emergencies 1
emitted 1
ensuing 1
equal 1
esm 6
esme 1
etc 1
evidence 1
evil 2
faced 1
fallen 1
fetch 1
figured 1
file 1
find 2
fire 1
first 1
flame 1
flammable 4
flood 1
followed 1
foods 1
for 6
force 1
forcing 1
forks 1
fortunately 1
fraught 1
from 8
frozen 1
give 2
gives 1
giving 1
gnats 1
goes 1
grab 2
green 4
group 1
hair 2
hammocks 1
happens 1
has 3
hatches 1
have 4
he 1
headquarters 4
heard 1
held 1
help 1
henchmen 1
her 7
herself 1
him 1
himself 1
his 4
hookhanded 1
hoping 1
house 1
iceclimbing 1
if 1
im 1
immediately 2
important 1
in 13
information 1
insects 1
insists 1
into 3
introduces 1
invents 1
is 10
it 7
join 1
justcaught 1
kidnapping 1
killed 1
klaus 6
know 1
knowledge 1
known 1
leads 1
learn 1
leave 2
left 1
light 1
lighting 1
location 1
lot 1
love 1
lure 1
made 1
man 3
many 1
masked 1
masks 1
meanwhile 1
meet 1
missing 1
more 1
morning 1
mount 1
mountain 6
mountainside 1
mysteriously 1
natural 1
nearby 1
net 1
next 2
night 1
no 2
not 1
notices 1
obvious 1
occupied 1
of 14
off 3
olaf 18
on 4
one 4
or 1
orders 2
other 1
out 1
outof 1
over 1
pages 1
peak 2
people 1
pit 1
plan 1
plot 1
plume 1
point 2
possess 1
prepared 1
pretends 1
pretext 1
privacy 1
protest 1
quagmire 2
quigley 13
quit 1
reach 3
reaches 1
realize 1
recruit 1
references 1
refuses 3
region 1
reluctantly 1
rescue 1
rest 1
return 2
reveal 1
reveals 1
right 1
rising 1
rival 1
rolling 1
romantic 1
run 1
running 1
runs 1
rush 1
salmon 2
say 1
says 1
schemes 1
scouts 5
see 2
seems 1
sees 1
sending 1
separated 1
several 1
shatters 1
she 6
shelter 1
siblings 4
sidekicks 1
signal 2
sister 1
sleep 1
slide 1
slope 3
smoke 4
smoking 1
snicket 2
snow 4
some 1
somehow 1
somewhere 1
spats 2
spot 1
spreading 1
spy 1
squalor 1
starts 1
stays 1
steep 1
sticky 1
stop 1
strangers 1
stream 1
successfully 1
sugar 1
sunny 15
sweater 1
take 2
talks 1
tallest 1
tell 1
telling 1
than 1
that 12
the 68
their 6
them 8
there 2
they 11
thinking 1
this 1
three 2
throw 1
to 36
toboggan 1
top 1
travel 2
tries 1
troupe 2
twelve 1
two 7
ukulele 1
uncle 1
under 1
until 1
up 4
use 2
used 2
useful 1
uses 1
using 1
verdant 4
vertical 1
very 1
vfd 7
vicious 1
violet 13
volunteers 1
wants 1
was 1
water 1
waterfall 1
way 1
wearing 1
what 2
wheels 1
when 4
where 1
which 3
while 2
white 1
who 2
whom 1
with 4
woman 1
women 1
working 1
wrongs 1
