26978743
/m/0bs1j5_
/m/0bs1j5_
Henning Mankell
2006
2004 1
a 7
about 1
across 1
address 1
adds 1
adult 1
aged 1
aging 1
also 2
an 1
and 11
archipelago 1
are 1
around 1
as 1
at 2
austere 1
back 1
be 1
become 1
both 1
but 1
by 2
career 1
cat 1
chances 1
childhood 1
close 1
cold 1
companions 1
concern 1
concerns 1
confront 1
courage 1
day 1
death 1
despite 1
destitution 1
diagnosed 1
dilemmas 1
displays 1
dog 1
early 2
enabled 1
encounter 1
enforced 1
enjoying 1
events 1
experiencing 1
faced 1
fact 1
few 1
figure 1
first 1
focusses 1
foot 1
for 3
force 1
forced 1
forgiveness 1
fredrik 3
frequent 1
from 5
grandparents 1
half 1
hand 1
has 6
he 4
him 2
his 9
house 1
hypochondria 1
ice 2
immune 1
impact 1
in 4
incident 1
individual 1
inhabitant 1
inherited 1
intimate 1
is 3
island 5
isolation 1
jansson 1
jensson 2
journey 1
key 1
largely 1
leads 1
least 1
led 1
life 2
lifestyle 1
little 1
lives 1
luxuries 1
make 1
medical 1
memories 1
mild 1
never 1
normally 1
not 1
novel 2
now 2
of 3
on 5
once 1
one 2
only 2
orthopaedic 1
others 1
out 1
painful 1
particularly 1
past 1
postman 1
postmans 1
poverty 1
privately 1
profession 1
reclusive 1
regrets 1
regular 1
relationships 1
remain 1
remote 1
requests 1
retire 1
retirement 1
retreated 1
revelation 1
rundown 1
sea 1
seeks 1
sense 1
set 1
sociable 1
sole 1
solitude 1
somewhat 1
spies 1
stockholm 1
struggling 1
successful 1
suffering 1
surgeon 1
surprising 1
surrounded 1
sweden 1
sympathy 1
the 19
their 1
them 1
themes 1
thick 1
this 2
those 1
through 1
tiny 1
to 13
towards 1
treated 1
unanticipated 1
unfolding 1
unfortunate 1
until 1
visitor 1
vulnerability 1
way 1
welin 4
which 4
winter 1
with 1
year 2
