21341823
/m/05f43qv
/m/05f43qv
Brent Weeks

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 43
able 3
about 2
accept 1
actually 1
advisors 1
afraid 1
after 13
against 1
aka 1
all 3
alley 1
allowed 1
almost 2
also 2
although 1
ambushed 1
amidst 1
an 8
and 66
angel 1
angers 1
antidote 1
any 1
anyone 2
apologizes 1
apparently 2
apprentice 4
apprenticing 1
archers 2
are 4
area 1
arm 1
arranges 1
arrive 2
arrives 3
as 14
ask 1
asks 2
assailants 1
assassins 1
assigned 1
at 6
attack 2
attempt 1
attempts 1
awake 1
away 5
azoth 36
back 1
battles 2
be 11
beaten 2
beats 2
become 3
becomes 1
bed 2
bedchamber 1
been 3
begin 1
begins 1
beheads 1
behind 1
being 3
best 1
between 2
bid 1
black 3
blademasters 1
blamed 1
blint 5
blood 1
body 2
bodyguard 1
bonds 1
boys 1
breaks 2
briefly 1
brings 1
broken 1
brothel 1
brought 1
burning 1
bursts 1
but 15
buy 1
by 11
called 2
can 4
cannot 1
captors 1
capturing 1
carries 1
case 1
castle 3
castrated 1
castrates 1
catch 1
catches 1
cenaria 2
ceremony 1
certain 1
challenge 2
chamber 2
chambers 2
chance 1
chantry 1
charge 2
choice 1
chooses 1
city 3
clean 1
close 1
coins 2
come 1
concedes 1
conduit 1
confrontation 1
confronted 1
confronting 1
consummate 1
contestants 1
contracts 1
could 1
count 4
couple 1
court 1
crush 1
curoch 1
cuts 1
dada 1
daughter 3
day 3
days 1
dead 3
death 5
decides 1
declines 1
demands 1
denies 1
despite 2
destroy 1
die 1
dinner 1
discover 1
discovers 1
disrupted 1
distraction 1
does 1
doesnt 3
doll 7
done 1
door 1
dorian 2
down 3
dragged 1
dragon 2
drake 3
drakes 1
dressed 1
drinking 1
due 1
dues 1
duke 4
during 3
durzo 33
each 1
ear 2
earlier 1
easily 1
efforts 1
elene 5
elevenyearold 1
else 2
elsewhere 1
empire 1
empty 1
encounters 2
end 1
ends 2
enforcer 1
enters 1
entire 1
equal 1
escaping 1
estate 1
even 3
eventually 1
everyone 4
except 1
eyes 1
face 1
faces 1
facing 1
fails 1
fake 1
family 2
far 1
father 4
fed 1
few 2
fight 2
finally 3
find 4
finds 6
first 1
fist 1
focus 1
followed 1
followers 4
following 1
food 1
for 13
forbids 1
forces 1
forgiving 1
four 2
free 2
friend 1
friends 2
from 3
front 1
fulfilling 1
full 1
garrison 1
get 6
gets 1
girl 7
girls 1
give 2
given 3
gives 3
glore 1
go 1
godking 2
goes 2
going 2
gone 1
gown 1
grabs 1
great 1
group 1
guard 1
guards 2
guild 6
gyre 12
gyres 1
had 4
harder 1
has 10
hate 1
have 4
having 1
he 49
head 3
headquarters 1
heads 3
heals 1
hearing 1
heir 3
help 2
helps 1
her 11
herbalist 1
hero 1
hesitates 1
hesitation 1
hidden 1
hide 1
him 41
himself 3
hired 1
his 45
hold 1
hole 4
hope 1
house 3
how 1
however 3
howlers 1
hu 1
huge 1
humiliates 2
identity 2
if 4
ill 1
immediately 1
impressed 2
in 24
inadvertently 1
incapacitating 1
including 1
indecision 1
infuriates 1
initially 1
insists 3
into 12
invasion 1
invitation 1
is 43
isnt 1
it 9
its 1
jalaliel 3
jarl 6
jenine 3
join 1
jumps 1
k 5
kakari 9
khalidor 1
khalidoran 1
khalidorans 2
kidnap 1
kill 4
killed 2
killer 1
kills 8
king 6
knife 1
knights 2
knocks 1
kylar 26
large 1
last 1
late 2
later 2
learns 1
least 1
leave 4
leaves 5
leaving 1
less 1
lets 1
life 6
line 1
lives 1
living 1
local 2
location 1
logan 30
lord 4
lose 1
losing 1
love 1
made 1
mage 2
magic 1
magical 4
magicians 1
maid 1
make 3
makes 2
marched 1
marriage 2
mask 1
may 1
meaningless 1
meanwhile 1
meeting 2
meets 1
members 1
men 2
metal 1
mission 1
moment 1
momma 5
money 1
months 1
more 3
morning 1
mother 1
mountainous 1
move 1
much 2
murder 1
must 2
name 1
named 3
needs 1
neph 5
new 4
next 1
night 6
no 2
noble 1
north 1
not 3
nothing 3
now 2
obligation 1
of 27
off 2
offends 1
offer 1
offers 1
old 1
on 12
once 1
one 15
opening 1
opponents 1
or 2
order 2
orders 1
organs 1
orphan 1
other 1
out 10
outside 2
overhears 1
own 2
party 2
pass 2
pay 2
people 1
perfect 1
person 1
plan 1
plans 4
play 1
pleads 1
poisons 2
poor 1
powerful 2
prepare 1
prepares 1
preparing 2
presence 1
preserve 1
preserves 1
pretty 1
price 1
prison 1
prisoners 1
process 1
proof 2
prophet 1
protect 1
protests 1
punish 1
purge 1
purpose 1
pursuing 1
quite 1
racks 1
rape 2
raped 1
rat 20
realizes 1
rebel 1
refuses 2
regnus 1
rejection 1
release 1
remaining 1
remind 1
reminds 1
report 1
resort 1
revealed 1
reveals 2
revenge 1
revives 1
right 1
rimbold 1
river 1
room 4
roth 8
royal 1
rules 1
rumored 1
run 1
runs 1
ruthless 1
sakag 3
save 1
saving 2
scaring 1
scars 1
screaming 3
scrounging 1
sea 1
secret 3
secretly 1
secure 1
seduce 1
see 1
seeks 1
send 1
sends 2
senseless 1
sent 1
serah 1
serve 1
several 3
shares 1
she 5
shiv 2
shoots 1
shop 1
should 2
show 2
shows 3
silver 3
sister 1
six 2
slaughters 1
slay 1
slows 1
small 1
sneak 1
so 7
soldiers 1
solon 11
some 1
someone 1
son 1
sons 1
soon 4
spar 1
sponsored 1
spy 1
square 2
stacked 1
stairs 1
standing 1
start 1
starts 2
stash 1
stay 1
stays 2
stealing 1
steals 2
stern 1
still 2
store 1
stretch 1
succession 1
supposed 2
supposedly 1
surrounded 1
survived 1
sword 1
swordsman 1
take 2
takes 4
talent 1
talented 1
talk 1
tavern 2
tells 12
terminally 1
terrible 1
than 1
that 30
the 100
their 2
them 2
then 8
there 6
these 1
they 10
thing 1
think 1
this 2
threaten 1
three 1
throne 1
through 1
time 3
to 82
tofusin 2
told 1
too 2
torn 1
tossing 1
tournament 2
toward 1
trade 1
training 1
trapped 2
travel 1
travelling 1
treat 1
tries 2
truly 2
trying 1
turn 1
turns 1
two 1
uly 1
underneath 1
unknowingly 1
unknown 1
until 1
up 7
upon 2
upstairs 1
urinate 1
use 1
uses 1
vase 2
very 1
vi 1
vicious 1
visit 1
vurdmeister 1
vurdmeisters 3
vyrden 1
wakes 1
walks 2
wants 2
warrens 1
was 2
watches 1
way 5
weapon 1
wearing 1
week 2
went 1
were 1
wetboy 4
when 4
where 3
which 6
while 6
who 18
why 1
wielding 1
will 9
win 1
winds 3
winner 1
with 23
within 1
without 1
wolf 1
word 1
working 1
worried 2
would 1
years 3
you 1
