2009699
/m/06dshm
/m/06dshm
Irvine Welsh
1998
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction"}
a 12
able 1
about 1
absconds 1
abusive 1
acquires 1
addicted 1
after 2
against 1
all 2
along 2
also 3
amsterdam 1
an 2
and 15
annual 1
answering 1
apart 1
arrested 1
as 3
ask 1
at 4
backfiring 1
begins 1
between 1
blades 4
bladesy 3
bob 1
book 1
boss 1
british 1
bruce 15
bunty 6
by 4
call 1
caller 1
calls 2
carole 1
case 1
celebrity 1
centres 1
chances 1
christmas 1
claim 1
clifford 2
cocaine 1
colleague 1
colleagues 2
committed 1
committing 1
concerned 1
constabulary 1
course 1
cravings 1
crime 1
despised 1
detective 2
devices 1
directed 1
directs 1
divorced 1
do 1
dressed 1
drive 1
driven 1
drug 1
drugs 1
drunk 1
due 1
during 1
edinburgh 1
endeavours 1
ends 1
enters 1
euphemism 1
eventually 2
evolution 1
example 1
explore 1
exwife 2
facets 1
feigning 1
female 1
first 1
firstperson 1
for 5
forced 1
foul 1
frank 1
friend 2
from 3
fuelled 1
gaining 1
game 1
games 1
general 1
get 2
happily 1
harassing 1
has 1
hatches 1
hatred 1
have 1
he 8
her 2
him 2
himself 1
his 17
holidays 1
hopedfor 1
however 1
imitating 2
in 8
indulge 1
ingratiating 1
injuries 1
inspector 1
intense 1
intensely 1
interest 1
into 3
investigating 1
is 11
itself 1
knew 1
leading 1
learn 1
leave 1
left 1
life 2
little 1
longerterm 1
longtermed 1
lothian 1
machine 1
main 1
major 1
malevolent 1
man 1
manages 2
mdash 3
message 1
misanthropic 1
misogyny 1
murder 2
myriad 1
narrative 1
natural 1
nonstop 1
nothing 1
novel 1
of 9
on 2
or 2
order 3
particularly 1
party 1
past 1
penchant 1
personality 1
perspective 1
perverted 1
phone 1
pining 1
playing 1
plot 4
plots 2
police 2
pornography 1
portray 1
promotion 1
proposes 1
protecting 1
purely 1
queen 1
questions 1
raciallymotivated 1
racism 1
raise 1
rather 1
relationship 1
reveals 1
revelation 1
revenge 1
robertson 4
role 1
romantic 1
routines 1
satisfy 1
scheme 2
schemes 1
scheming 1
sectarianism 1
seeks 1
selfsame 1
sergeant 1
serves 1
serving 1
sex 3
sexual 2
sexually 1
short 1
shortterm 1
sidebottom 1
size 1
so 1
station 1
subplot 1
such 1
suffers 1
suicide 1
taking 1
tapeworm 1
tedious 1
that 4
the 27
then 1
this 1
through 2
throughout 1
to 19
toal 1
told 1
towards 1
traces 1
trick 1
up 1
use 1
various 2
violence 1
voice 2
voicing 1
vulgar 1
waits 1
way 1
we 1
wedge 1
were 1
which 3
while 1
whilst 2
wife 2
with 6
women 1
workmates 1
