17843812
/m/047g9hm
/m/047g9hm
Edward Bloor
1997
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
15yearold 1
a 2
after 2
against 1
age 1
all 1
also 3
an 2
and 8
approve 1
arcade 2
arcane 3
are 2
around 1
as 1
aspiring 1
at 2
barely 1
be 1
becomes 1
begins 1
both 2
but 2
by 3
central 1
character 1
clientele 1
come 1
coming 1
content 1
cousin 1
crimes 1
criticized 1
crusader 1
deal 1
deals 1
deaths 1
demolished 1
developers 1
dig 1
disillusioned 1
disinterest 1
does 1
doesnt 1
elderly 1
facts 1
far 1
father 3
filled 1
finding 1
florida 1
for 1
forced 1
free 1
friend 2
friends 1
from 1
games 1
girlfriend 1
hate 1
have 1
having 2
help 1
her 12
herself 1
hidden 1
high 1
his 2
idea 1
in 4
inability 1
incidents 2
injustice 1
instead 1
into 1
investigate 1
is 5
it 1
journalism 2
journalist 1
life 1
like 1
likes 1
lives 1
local 1
located 1
makeup 1
mall 3
many 1
menstruated 1
mother 1
mothers 1
motivated 1
much 1
mudraking 1
murder 1
never 1
new 1
news 1
nikki 1
nor 1
not 1
notice 1
occasional 1
of 9
offered 1
often 1
on 1
overthetop 1
overtones 1
people 1
perpetrated 1
planning 1
popular 1
problems 1
pursue 1
racial 1
range 1
real 1
ritter 1
roberta 7
rumors 1
run 1
school 2
seems 1
selfinterest 1
series 1
she 3
so 1
some 1
south 1
spending 1
station 1
surrounding 1
suzie 1
takes 1
teacher 2
terms 1
that 1
the 15
these 1
time 1
to 10
uncle 1
unsavory 1
unveiling 1
upon 1
vendors 1
violence 1
virtualreality 1
way 1
weekends 1
where 1
which 1
who 1
widowed 1
with 9
witnessing 1
works 1
