8726582
/m/027gh0d
/m/027gh0d
Georgette Heyer
1968
a 19
able 2
about 4
action 1
afraid 2
after 3
again 1
agree 1
agrees 1
all 2
allows 1
although 2
always 2
an 3
and 24
angry 1
another 1
answer 1
any 1
are 2
arrive 2
arrives 2
arriving 1
as 2
asks 2
at 5
aunt 13
awakes 1
away 2
awful 1
back 1
be 5
beautiful 2
beauty 1
because 1
become 2
becomes 2
becoming 1
been 1
before 2
beginning 1
begins 2
begs 1
beloved 1
better 2
broome 10
broomes 1
but 12
by 1
calls 1
cannot 1
cause 1
chaos 1
cold 1
comes 3
compose 1
controlling 1
dead 1
deal 1
death 1
decides 1
delighted 1
described 1
description 1
despite 2
determined 2
determines 1
did 1
dies 1
discovers 1
dislike 1
disliking 1
do 3
does 4
doesnt 1
door 1
dresser 1
drown 1
drowns 1
due 1
dying 1
each 1
engagement 1
even 1
everything 1
fact 2
familiar 1
fashionable 1
father 1
fatherinlaw 1
fears 1
find 1
finds 2
first 2
for 5
forced 1
formal 1
found 1
from 2
full 1
further 1
gets 1
getting 1
give 2
go 1
governess 3
gratitude 1
grown 1
had 5
halfaunt 1
happier 1
happily 1
harm 1
has 5
hate 1
hates 1
have 4
having 3
he 8
healthy 1
heard 1
hears 2
heir 2
her 23
herself 2
him 7
himself 1
his 2
home 2
horrified 1
house 5
how 1
however 2
husband 1
ill 1
imagines 1
immediately 1
in 9
insane 1
invalid 1
is 18
it 6
job 1
journey 1
kate 25
kindness 1
know 2
knowing 1
lady 11
lake 2
later 1
learns 1
leave 1
leaves 1
leaving 1
left 1
letters 2
life 2
like 3
living 1
locked 1
looking 1
loses 1
love 1
made 1
make 1
makes 1
malvern 1
man 2
marriage 1
marry 3
may 1
meets 1
merely 1
middle 1
mind 1
minerva 12
money 1
more 4
morning 2
mother 1
mr 3
mrs 4
must 1
nephew 1
new 1
next 2
nidd 7
night 3
no 1
none 1
not 4
note 1
notice 1
numerous 1
obsessed 1
of 10
old 1
on 3
once 3
one 3
only 1
opening 1
opposite 1
or 1
orphan 1
other 2
otherwise 1
out 2
own 1
part 1
payment 1
persistence 1
phillip 8
point 1
position 1
possible 1
proper 1
proposes 1
quickly 1
rather 1
reaction 1
reason 1
reasons 1
receive 1
refuses 4
replies 1
room 1
sarah 2
satisfactory 1
saying 1
scheme 1
scream 2
second 1
see 1
seems 3
sees 1
she 28
shocked 1
shop 1
shut 1
since 1
sir 3
sleep 1
slut 1
something 1
soon 6
sound 1
spends 1
staplewood 4
still 1
stirred 1
storm 1
storms 1
strange 1
strangled 1
such 2
suspicion 1
suspicions 1
take 3
taken 1
takes 1
talks 1
tell 2
tells 6
temperamental 1
terrible 2
terribly 1
than 3
that 14
the 22
then 3
therefore 2
they 2
things 2
think 3
thinks 1
this 3
though 1
thoughts 1
time 2
timothy 3
to 43
too 1
torquil 16
tragedy 1
turns 1
uninviting 1
up 3
upset 1
very 3
via 1
voice 1
warm 1
was 2
wasnt 1
watched 1
welcoming 1
what 2
when 8
whereas 1
whilst 1
who 3
why 2
will 1
wished 1
wishes 1
with 8
worried 1
would 4
writes 2
yet 5
youth 1
