3173458
/m/08x12t
/m/08x12t
Lloyd Alexander
1966
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
18 1
a 36
abandoned 1
able 1
above 1
achren 10
action 2
actually 1
after 3
against 1
aid 1
alarm 1
alaw 2
alive 1
all 6
allow 1
allows 1
almost 1
alone 1
already 1
also 2
although 2
an 1
ancestral 2
and 65
angharad 2
another 1
any 1
appalled 1
appearance 1
appears 1
are 1
arrests 1
as 4
ashore 1
asks 1
assistant 1
at 7
attacks 1
attempted 1
average 1
awakes 1
aware 1
banal 1
bard 1
bards 1
bats 1
bauble 6
be 1
beach 2
because 1
been 2
before 4
begin 1
begins 3
below 1
better 1
birth 1
black 1
blazes 1
blinds 1
boat 1
book 6
boots 1
breakfast 1
breaks 2
bring 1
bringing 1
broken 1
build 1
burden 1
but 13
by 16
cache 1
caer 5
calling 1
calls 1
can 1
cannot 2
captained 1
careful 1
castle 3
cat 1
cauldron 1
caverns 2
ceremonial 1
charge 1
charges 1
cheerful 1
chief 1
choice 2
city 1
cliffs 1
climb 1
column 1
colur 3
command 1
common 1
companion 1
companions 3
complete 1
conduct 1
confides 1
consciousness 1
construct 1
control 1
corner 1
court 2
cries 1
crimson 1
crow 1
dallben 4
danger 1
daughter 2
day 3
dead 1
decided 1
decides 1
deep 1
delta 1
demonstrates 1
determined 1
determines 1
developed 1
different 1
dilapidated 1
diminish 1
dinas 2
discover 1
discovers 1
disintegrates 1
dismounted 1
do 2
does 2
door 2
down 1
downstream 1
dream 1
during 1
dusk 1
eilonwy 24
eloped 1
embarked 1
empty 2
enables 1
enchanter 1
enchantments 1
end 1
engage 1
enlarged 1
enraged 1
entered 1
entranced 1
envies 1
envious 1
episode 1
escape 2
escorts 1
eventually 1
evidently 2
evil 1
examine 1
exit 2
experimentalist 1
explains 2
explore 1
fails 1
feelings 1
fetched 1
ff 1
fflam 1
fflewddur 6
fight 1
final 2
finally 3
find 5
finds 2
fine 1
flame 1
flat 1
flees 1
follow 1
follows 1
for 15
forest 1
forget 1
former 3
four 2
frequent 1
from 8
full 2
further 1
gagged 1
gainsays 1
gates 1
giant 2
given 1
gives 1
glew 5
glows 1
golden 2
good 1
grave 1
group 1
guard 1
guards 2
gurgi 5
gwydion 9
halls 1
halt 2
harping 1
harvesting 1
has 11
hasty 1
have 4
he 25
heads 1
heirlooms 1
help 2
helping 1
helps 2
her 14
herself 1
hides 2
him 13
himself 3
his 12
hold 1
home 1
hope 1
hopes 2
horn 1
horrified 1
horse 4
horses 1
house 4
how 1
human 1
hut 1
implements 1
in 12
inadvertently 1
incinerates 1
incompetent 2
indeed 1
infer 1
inferences 1
ingredient 1
ingredienttheir 1
inside 2
instead 1
interrupted 1
interrupts 1
into 2
introduced 1
is 15
isle 1
it 4
its 2
joined 1
just 1
kaw 4
keep 1
kidnapped 1
kill 1
king 3
kingdom 1
know 2
knows 4
ladder 1
ladies 1
ladylike 1
land 1
landslide 1
larger 1
last 1
later 1
leads 2
leave 2
leaving 1
ledge 1
left 2
life 1
light 5
likely 1
line 1
little 1
lived 1
living 1
llyan 3
llyr 3
longer 1
loses 1
magg 10
magic 1
magical 1
maintaining 1
makes 1
man 1
manages 1
master 1
maxims 1
meals 1
meanwhile 2
meet 1
meets 1
memories 2
mentions 1
mercenary 1
mona 2
months 1
morning 2
most 1
mother 1
mountain 1
mouth 2
must 3
named 1
names 1
near 1
needs 1
next 2
night 3
no 1
noble 1
nominally 1
nominating 1
none 2
not 6
notes 1
notice 1
now 1
oath 2
of 44
offers 1
official 1
offshore 2
on 6
one 5
only 4
opening 1
opens 1
or 2
organizes 1
other 1
others 1
out 4
outside 1
own 1
pages 2
pair 1
particular 1
parties 1
party 3
passage 1
pay 1
pelydryn 2
peninsula 1
perhaps 2
permits 1
personal 2
personally 1
persuade 2
pet 1
pigkeeper 1
pit 2
pitifully 1
plan 1
plans 1
pledge 2
potion 1
potions 1
power 2
powerful 1
powers 1
prepare 1
primarily 1
prince 6
princess 1
promise 1
prompts 1
proper 1
protect 3
provide 1
prydain 1
pulled 1
pursue 1
pursues 1
queen 1
quickly 1
quiets 1
raft 2
rather 1
reach 2
reached 1
reaching 1
ready 1
really 1
recent 1
recipe 1
recognized 1
recognizes 1
reconstructed 1
records 1
regat 1
reign 1
rejoined 1
repairs 1
rescue 1
reside 1
resident 1
resides 1
responded 1
restore 1
retrieves 1
return 3
returned 1
returns 1
revealed 1
revealing 1
reveals 1
rhuddlum 1
rhun 15
rhydant 1
rhydnant 1
river 1
rock 1
rocks 1
room 2
rope 1
route 1
rowboat 1
rows 1
royal 3
ruin 1
rule 3
run 1
scorn 1
scorns 1
sea 4
search 2
seaward 1
secure 1
selfless 1
separately 1
separates 1
seriously 1
settles 1
several 1
shall 2
shallows 1
shame 1
shattered 1
she 15
sheaf 1
ship 3
shoemaker 1
shortly 1
show 2
shuts 1
signal 1
since 1
sing 1
sinking 1
size 1
small 4
sobbing 1
some 4
soon 1
sorceress 1
sorceresses 1
spectacular 1
spell 2
spend 1
spiral 1
spotted 1
spring 1
stables 1
steward 1
stir 1
stone 1
stops 1
story 1
struggle 1
stupidly 1
successfully 1
surely 1
surprises 1
survived 1
surviving 1
takes 2
taking 1
taran 18
tedium 1
teleria 1
tells 3
tenure 1
than 3
that 21
the 94
their 2
them 12
they 12
thoughts 1
threatens 1
three 1
through 1
to 43
took 1
torment 1
tower 1
tracks 1
trapped 1
traps 2
traveling 1
tricked 1
trio 1
try 1
tumble 1
tunnel 1
turned 1
turns 2
under 2
underground 1
unknown 1
until 1
up 4
upon 1
vainly 1
very 2
visited 1
volunteers 1
walls 1
was 1
washed 1
way 1
wed 1
wedding 1
well 2
west 1
what 2
when 4
where 2
which 7
while 1
whispers 1
who 7
will 4
willow 1
wing 1
wishes 1
with 7
witness 1
word 2
year 1
yet 1
yield 1
young 2
youth 1
