2602571
/m/07q_wk
/m/07q_wk
Terry Brooks
2003-08-26
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
20 1
a 10
ability 1
accomplice 1
advised 1
after 1
ahren 2
aid 2
airships 1
along 1
an 1
and 8
annoying 1
aphasia 1
ard 1
are 3
aru 1
as 4
assassin 1
at 1
be 1
become 1
bek 2
bid 1
brona 1
brother 1
but 2
by 6
called 2
can 1
capture 1
captured 1
chronicled 1
cinamminson 1
cinnaminson 1
commune 1
cost 1
council 1
creature 2
dark 1
dart 2
defeat 1
defeating 1
demoninfested 1
demons 1
develops 1
disposed 1
dragon 1
druid 5
druids 1
dwarf 1
elessedil 1
elf 1
elfstones 1
empathic 1
encounter 1
encounters 1
enigmatic 1
events 1
evil 2
exploring 1
feelings 1
finding 1
finds 1
for 2
forbidding 3
forces 1
former 1
four 3
frightening 1
from 1
girl 1
grianne 6
group 1
has 3
heir 1
her 3
high 1
his 2
horrific 1
ilse 1
in 5
into 1
is 1
jarka 1
jerle 1
joined 1
joins 1
khyber 1
king 1
knocking 1
known 1
land 1
lands 3
led 1
legendary 2
life 2
like 1
liquid 1
locally 1
loyal 1
magic 2
manage 1
many 1
means 1
meanwhile 1
meridian 1
minions 1
mirror 1
misgivings 1
most 1
mysteriously 1
nature 1
new 1
niece 1
night 1
not 1
now 1
of 14
ohmsford 2
one 1
or 1
otherwise 1
out 4
over 1
party 1
pen 2
power 1
provide 1
pursuing 1
reach 1
restore 1
rhys 1
river 1
rover 1
rue 1
ruus 1
search 1
seeking 1
send 1
set 1
sets 1
shade 1
shadea 1
shannara 1
she 2
silver 1
since 1
somewhat 1
son 1
spiderlike 1
stalked 1
strong 1
supernatural 1
tagwen 2
tanequil 1
the 25
their 2
they 5
this 1
to 7
told 1
traitorous 1
tree 2
unorthodox 1
use 1
voyage 1
way 1
weka 2
well 1
which 1
who 1
whom 1
wife 1
witch 1
with 3
without 1
world 1
wye 1
years 1
