5884364
/m/0fbryx
/m/0fbryx
Nevil Shute
1940
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
130s 1
a 14
aboard 1
accurate 1
air 2
aircraft 2
alix 3
all 1
although 1
america 2
an 2
and 11
appears 1
are 1
as 4
at 2
attempt 1
been 1
behind 1
both 1
brother 1
bush 1
bushflying 1
businessman 1
by 5
canada 2
cape 1
carved 1
causes 1
character 1
coast 2
cod 1
coma 1
complete 1
completed 1
contend 1
corresponds 1
cosmos 1
crossing 1
cyril 1
daughter 1
david 1
details 1
detroit 1
dig 1
discovery 1
don 2
donald 1
down 1
dream 1
dreamed 1
dreams 2
early 2
eastern 1
elder 1
enters 1
erickson 1
ericson 1
expedition 3
experience 1
expert 1
exploits 1
explorers 1
fallen 1
fictional 2
finance 1
financier 1
find 1
firm 1
first 1
flight 1
floatplane 1
flying 1
for 1
forced 1
from 1
going 1
greenland 2
has 3
have 1
he 6
helpful 1
him 1
hired 2
his 2
in 8
includes 1
including 1
induced 2
insists 1
intended 1
interest 2
investigate 1
is 7
it 4
its 1
keep 1
keeping 1
knowledge 1
lack 1
land 1
landed 1
landfall 1
landing 1
last 1
late 1
later 1
leaving 1
leif 1
lief 1
little 1
lockwood 3
made 1
making 1
mission 1
much 1
named 1
names 2
needs 1
new 1
noorduyn 1
norseman 1
north 2
of 16
on 7
once 1
ongoing 1
out 1
over 1
oxford 1
part 1
performance 1
period 1
photographic 1
pilot 2
plot 1
point 1
possible 1
preliminary 1
preparatory 1
principal 1
project 1
prolonged 1
providing 1
radialengined 1
recognizes 1
recovers 1
reincarnation 1
remnant 1
responsibility 1
ross 5
roughly 1
safe 1
scottish 2
seafarers 1
second 1
shoulders 1
shute 1
slaves 3
sleep 1
sleeping 1
solely 1
soon 1
stages 1
starting 1
stone 2
successfully 1
such 1
suggestions 1
survey 2
tablets 1
take 1
technical 1
tells 1
tensions 1
that 1
the 26
their 4
theme 1
then 1
they 1
this 5
three 1
tidal 1
to 9
towards 1
transatlantic 1
two 1
type 1
use 1
vessel 1
viking 2
voyage 1
was 1
were 1
wet 1
where 1
which 1
while 1
who 1
with 6
work 2
worn 1
worry 1
york 1
young 2
zone 1
