13726089
/m/03cgcrk
/m/03cgcrk
Junot Díaz
2007-09-06
13 1
a 50
abelard 4
able 1
abortion 1
about 8
abusing 1
abusive 2
accidentally 1
accused 1
address 1
affection 1
affectionately 1
after 11
again 2
age 2
ages 1
al 1
all 2
almost 1
also 1
although 2
an 14
ana 6
and 67
another 1
any 1
anything 1
apart 1
apartment 1
apparent 1
appears 1
are 1
army 2
around 4
arrest 1
arrested 1
arrives 1
as 20
asserting 1
at 11
attempt 1
attempts 2
attention 1
authority 1
avail 1
avenger 1
away 5
baby 3
back 8
bad 1
bakery 1
ban 2
bani 1
be 11
bearing 1
beat 1
beaten 1
beautiful 1
because 2
become 1
becomes 3
becoming 1
been 5
before 3
begins 3
being 2
beli 26
belicia 3
best 1
birth 1
bit 1
bodies 1
body 1
book 5
both 1
bottom 1
boy 1
boyfriend 2
breaks 2
breast 1
bring 2
brings 1
brothers 1
but 4
by 9
cabral 1
calls 3
can 3
cancer 2
cancerridden 1
cane 4
cannot 1
capitan 2
captured 1
car 3
care 1
cartoons 1
catch 1
cause 1
causes 3
centered 1
chacn 1
changes 1
changing 1
chapter 8
chapters 3
character 1
characters 1
cheating 1
child 4
children 1
chinese 1
circumstance 1
clives 2
close 1
closet 1
club 1
coffee 2
college 2
come 3
comes 2
community 2
composition 1
connections 1
constantina 1
consummate 1
contains 4
continually 1
continue 1
convinces 1
cop 1
cops 4
counterspell 1
course 1
cousin 2
coworkers 1
criada 1
crying 1
curse 2
darkskinned 1
dash 1
daughter 3
daughters 1
days 1
de 1
dead 2
death 3
demanded 1
describes 2
desire 1
deteriorates 1
develops 1
dictator 2
did 1
die 1
died 2
dies 1
different 1
direct 1
discovered 1
discovers 4
discuss 1
disposed 1
distant 1
do 3
doctor 1
does 3
dominican 6
doom 2
dream 2
dreams 1
drive 2
due 1
dumped 1
during 2
each 1
earn 1
earns 1
effort 2
eight 1
el 1
elvis 1
employers 1
end 1
endowed 1
ends 2
enough 1
epilogue 2
event 2
eventual 1
eventually 1
ever 1
exboyfriend 1
expect 1
expected 1
explains 3
explore 1
explores 2
eyes 1
face 1
fact 1
faithfully 1
faking 1
falls 3
families 2
family 6
fantasy 1
fascination 1
fates 1
father 6
fathers 1
fea 2
fear 1
fears 1
feels 1
fetus 1
few 1
fiction 2
field 3
final 1
finally 1
find 3
finds 2
fired 1
first 3
five 1
focusing 1
follows 1
for 10
forced 2
forget 1
form 2
former 2
forms 1
foster 1
found 1
four 2
friends 3
from 11
fuk 2
fulfilling 1
full 2
fun 1
future 1
games 1
gangster 5
generally 1
genres 1
get 2
gets 1
girl 2
girlfriend 1
girlfriends 1
girls 3
give 1
given 1
gives 1
goes 1
going 1
golden 2
gorilla 1
grabs 1
grandfather 1
grandmother 1
grod 1
group 2
grown 1
grundy 1
gun 1
had 7
hairstyles 1
half 1
hand 2
has 8
have 4
having 1
he 17
health 1
heavily 1
help 2
henchmen 1
her 40
heritage 1
hero 1
herself 3
high 3
him 7
his 25
history 2
hits 1
home 3
hometown 1
hot 1
how 3
however 5
husband 1
hypata 1
i 1
if 1
ii 1
iii 2
immigrants 1
in 27
inability 1
inca 12
including 1
indicates 1
injuries 1
instead 1
intense 1
intensely 1
interrupted 2
into 5
introduces 3
introductory 4
involve 1
is 41
isis 1
it 10
jack 2
jaquelyn 1
jersey 2
job 3
joke 1
jos 2
juan 2
kicked 1
kidnap 1
killed 1
killing 1
kind 1
knocks 1
known 2
la 14
lands 1
large 1
later 2
leads 1
learns 2
leave 1
leaving 1
led 1
left 1
len 1
length 1
letter 1
letters 2
lies 1
life 5
lifelong 1
lightskinned 1
live 3
lola 23
loses 1
lot 2
love 8
made 1
mail 1
