8719597
/m/027g66t
/m/027g66t
Martin Cruz Smith
2002-09-30
{"/m/02xlf": "Fiction"}
141 1
24 1
a 3
aggrieved 1
all 1
ambassador 1
american 1
an 1
and 8
are 1
as 1
at 1
attentions 1
barclub 1
before 1
benefits 1
blaine 1
bombers 1
brutal 1
casablanca 1
childhood 1
consult 1
culture 1
cunning 1
dangerous 1
diplomats 1
district 1
during 1
encounters 1
entertainment 1
escape 1
european 1
exit 1
expatriates 1
fighters 1
fluent 1
for 1
fortunately 1
from 1
get 1
happy 1
harbor 1
harry 2
has 3
he 1
highly 1
himself 1
hit 1
hours 1
in 6
is 3
island 1
it 1
japanese 2
language 1
largely 1
late 1
local 1
lover 1
many 1
newspapermen 1
niles 2
of 5
off 2
officer 1
only 1
or 1
paris 1
passionately 1
pearl 1
place 1
points 1
police 1
problems 1
rick 1
rid 1
same 2
samurai 1
shrug 1
so 1
stoppered 1
subtle 1
swift 1
take 1
that 1
the 11
tightly 1
time 2
to 1
tokyo 3
unsupervised 1
us 1
vengeance 1
which 1
will 1
with 1
