1062803
/m/042qmf
/m/042qmf
Franz Werfel
1933
108 2
112 1
115 3
12 1
130 1
132 1
133 2
34the 1
5 1
5000 1
6000 1
a 83
abandon 1
aboard 1
about 6
acclimate 1
accompany 1
account 1
acquaintancesand 1
adjust 1
advance 1
affair 1
affairs 1
after 5
again 1
against 1
agha 2
aghas 1
agrees 1
aid 1
alarmed 2
all 2
allied 2
allies 2
allowed 1
alludes 1
ally 2
almost 2
also 8
altar 1
altouni 1
american 2
among 3
an 6
and 104
animals 1
another 1
antakya 1
anticipates 1
antioch 3
apostates 1
apothecarypolymath 1
apprehends 1
approach 1
approval 1
april 1
aram 2
are 5
arm 1
armenian 29
armenians 15
armeniasacrifice 1
armies 1
army 5
around 3
arrests 1
arrival 1
arrive 2
arrives 1
art 1
artillery 2
as 50
ascetic 1
ask 1
assassinated 1
assassins 1
assault 1
assemble 1
assess 1
assist 1
assumes 1
at 3
atrocities 2
atrocity 1
attack 2
attacks 1
attempt 1
attempts 1
attract 3
audience 1
austrohungarian 1
authentic 1
author 1
authorities 1
authority 1
authors 1
back 3
bagradian 25
bagradians 5
balkan 1
banality 1
bands 1
based 1
bastion 1
bath 1
battle 1
battles 1
be 6
beating 1
beauty 1
because 1
become 1
becomes 3
been 5
before 1
begin 1
begins 2
behind 3
being 4
bells 1
bereket 2
between 4
bewitched 1
bible 1
birth 1
book 13
books 1
both 2
boys 2
brain 1
bring 2
bringing 1
british 2
brother 1
brutal 1
brutally 1
bureau 1
bureaucracies 1
burial 1
burning 1
but 5
buy 2
by 15
cache 1
called 2
came 1
camp 6
camps 3
can 5
cannons 1
cannot 1
capital 1
capture 1
car 1
care 2
cared 1
carpet 1
carry 2
causes 2
cautionary 1
celebrate 1
central 1
century 1
ceremonies 1
certain 1
challenge 1
changes 1
chapter 5
character 2
characters 7
chaush 1
chief 2
child 1
childhood 2
children 1
chosen 1
church 1
cities 2
citizen 1
citizens 1
city 1
civil 1
class 2
classic 1
clear 1
cliff 1
coast 1
collected 1
colony 1
come 3
comes 1
comfortfrom 1
coming 3
comingofage 1
committed 1
communal 1
community 1
completely 1
complex 1
composed 1
conceived 1
concentration 1
conditions 1
conducted 1
confiscated 1
conflagration 1
confronts 1
connection 1
consciousness 1
consider 1
considers 2
consults 1
consummated 1
contact 2
continue 1
conversation 1
convince 1
convincing 1
cooperating 1
corporal 1
corps 1
corroborated 1
could 1
course 4
crescentwhich 1
criminal 1
cross 2
cruiser 1
cult 1
cup 1
cut 1
dagh 15
daghs 3
damage 1
damascus 1
damlayik 1
damning 1
dangers 2
days 1
dead 2
death 2
deaths 1
decide 2
deep 1
defense 1
defenses 1
defensesthe 1
deformity 1
delivery 1
denoted 1
depiction 1
deportation 2
deportations 2
deportationsand 1
deported 1
derives 1
dervish 2
describes 1
desert 1
deserted 1
deserter 1
deserters 1
deserterswho 1
despite 4
destiny 1
destroys 1
details 1
deterioratefor 1
develops 2
devotions 1
dialogue 1
did 2
die 1
difficult 1
difficulty 1
dig 1
diplomatic 1
disaster 1
discovered 1
discovers 1
discussing 1
dish 1
disrupt 1
distress 1
district 2
disturbingly 1
diverted 1
divine 1
division 1
djemal 2
do 4
does 1
doing 1
dominated 1
dot 1
down 1
dr 1
draftees 1
dramatic 1
drawn 2
dreaded 1
drillmaster 1
driven 1
during 10
dying 1
early 1
eastern 1
eclectic 1
egypt 1
elaborated 1
elements 1
empire 3
empires 1
emplacement 1
encampment 2
enclosure 2
encounter 1
encounters 1
end 1
ends 3
engagement 1
english 1
enhances 1
enough 1
ensure 1
ensuring 1
entails 1
entertains 1
entire 1
entirely 1
enver 6
environment 1
environs 1
envoy 1
episode 1
escape 1
eschewing 1
especially 1
established 2
establishment 1
estranged 1
estrangement 2
even 2
events 2
eventually 1
everything 1
evident 1
exile 2
exists 1
experience 1
experiences 2
exploited 1
exposing 1
eyes 1
faces 1
factory 1
fall 1
falls 1
familiar 2
family 6
famishedlooking 1
farmer 1
fascinated 1
father 1
fatherhood 1
fathers 1
feat 1
features 1
feels 1
fending 2
fetch 1
fight 1
figure 1
filled 1
final 2
finds 1
fire 4
fires 1
first 7
firsthand 1
flag 2
flew 1
focus 1
fog 1
folkwho 1
follow 1
followed 3
followers 1
follows 2
for 19
forceand 1
forced 1
forces 2
foreshadows 1
forest 2
form 3
formations 1
former 1
forty 1
forward 1
four 1
franz 1
french 5
friend 2
friends 2
friendship 2
from 20
front 2
fruit 1
fuels 1
full 1
funds 1
funeral 1
further 1
gabriel 3
gallipoli 2
gave 1
general 1
german 2
germany 3
gesture 1
get 1
girl 1
girls 1
given 4
go 1
goat 1
gods 2
goes 1
gonzague 3
gonzagues 1
government 1
governments 1
governor 1
grandfather 1
grave 1
graveyard 1
greatest 1
greek 1
gregorian 1
grief 1
group 1
growing 1
guerrilla 1
guichen 1
gun 1
guns 1
had 10
haigasun 4
haik 4
hamidian 1
hands 2
hangs 1
has 5
hatay 1
have 4
having 1
he 24
head 1
headshot 1
hears 1
hell 1
help 3
helping 1
her 6
here 2
