10388000
/m/02qb6pq
/m/02qb6pq
Peter Robinson
1987
{"/m/0lsxr": "Crime Fiction"}
a 4
addition 1
alan 1
all 1
an 1
and 5
are 2
as 2
attraction 1
banks 2
bankss 1
been 1
both 1
breaking 1
cases 2
chief 1
city 1
climax 1
compassionate 1
curious 1
dales 1
deal 1
deeper 1
detective 1
drawn 1
eastvale 1
escape 1
events 1
feminists 1
frightening 1
from 1
fuller 1
gluesniffing 1
has 1
have 1
his 1
homes 1
in 1
inspector 1
into 2
investigating 1
is 2
jenny 2
life 1
local 1
london 1
may 2
mounts 1
moved 1
murdered 1
not 1
of 2
old 1
or 1
peeping 1
people 1
perceptive 1
policeman 1
psychologist 1
reaches 1
recently 1
robbing 1
sandra 1
story 1
stress 1
surprising 1
tense 1
tension 1
the 8
these 1
this 1
thugs 1
to 5
together 1
tom 1
two 1
weave 1
wife 1
with 1
woman 1
women 1
yorkshire 1
young 2
