23592479
/m/06zqrr6
/m/06zqrr6
Craig Thomas

a 20
accidents 1
across 1
acting 1
afghanistan 2
against 5
agendas 1
air 1
allowed 1
along 1
also 2
alternative 1
although 1
amended 1
american 2
americans 4
an 4
an2 1
and 9
antagonized 1
antonov 1
any 1
apparently 1
are 2
arms 1
army 5
armybacked 1
armyimposed 1
armys 2
arranging 1
as 8
at 1
atlantis 1
avoids 1
back 1
baikonur 7
bailing 1
balance 1
barely 2
based 1
battle 1
be 7
beach 1
because 3
been 3
before 7
being 2
believe 1
biplane 1
border 2
both 3
but 6
by 11
c5 1
cactus 1
camp 1
can 2
capture 1
captured 2
cargo 1
carrying 2
cede 1
central 1
character 1
chased 1
chooses 1
cia 2
civilian 1
civilians 1
closely 1
closes 1
code 1
codename 1
codenamed 3
coincide 1
collective 1
colonel 1
commences 1
competing 1
complex 1
concludes 1
continues 1
control 2
correctly 1
cosmodrome 1
coup 1
cover 1
covert 1
crash 1
crew 1
crop 1
custody 2
cut 1
cuts 1
damaged 1
days 1
death 1
decides 1
deep 1
destroying 1
destruction 1
details 3
development 1
dilemma 1
dmitri 1
down 4
dramatically 2
drove 1
due 1
dusting 1
elevated 1
eliminate 1
emotionally 1
engineer 1
escapes 3
escaping 1
even 2
events 2
evidence 4
excluding 1
exist 1
existence 2
extract 1
extracting 1
extraction 1
falling 1
farm 1
fatal 1
few 1
fighters 1
finds 1
fire 2
firefox 3
first 1
flightready 1
flown 2
fly 1
following 1
foot 2
for 8
forced 2
from 6
fuelsystem 1
gant 12
gants 2
general 1
generals 1
get 1
graciously 1
groundbreaking 1
group 1
grudge 1
guarded 1
had 1
hands 1
has 9
hatred 1
have 4
having 1
hawk 2
he 9
helicopter 2
helicopters 8
help 1
him 6
himself 1
his 10
hunt 1
illegal 1
illfated 1
immediately 2
implications 1
in 10
include 1
including 1
information 1
instead 1
into 4
introduced 1
investigates 1
investigation 1
involving 1
is 12
it 3
its 3
itself 1
jettisoning 1
journey 1
kazakhstan 1
kedrov 6
keep 1
keeping 1
keeps 2
kept 3
kgb 4
kgbs 1
killed 1
killing 2
know 1
knowing 1
known 2
lacking 1
lands 1
laser 8
launch 5
launched 1
launching 1
leaders 1
leadership 1
leading 1
learn 1
learned 2
learns 2
led 1
lightning 9
like 1
linchpin 1
live 1
lockdown 1
made 1
make 2
malfunction 1
manage 1
massive 1
meant 1
mi2 1
mi24 2
mil 3
military 5
minor 1
mission 6
mitchell 3
more 1
moscow 1
mostly 1
murders 1
named 1
narrowly 2
near 1
nearby 1
nearly 1
neither 1
new 2
no 1
none 1
nonetheless 1
nor 1
not 3
novel 2
now 2
nuclear 1
nurses 1
obstacles 1
of 34
off 1
officer 2
officers 3
on 3
once 1
one 3
only 3
operating 1
orbit 2
orbital 1
order 1
orders 2
other 2
out 3
outside 1
over 5
own 3
painful 2
patrols 1
philip 1
pilot 1
pilots 1
placate 1
placed 1
places 1
plane 2
plans 2
plant 1
point 1
power 2
prelaunch 1
prelude 1
presence 1
pretext 1
priabin 12
proof 1
proves 1
quickly 1
ranking 2
reaches 1
reader 1
realizing 1
reducing 1
reduction 1
remote 1
requiring 1
rest 1
revealed 1
reveals 1
rodin 3
rodins 1
role 1
sabotages 1
satellite 1
save 2
secret 2
security 1
seize 1
send 1
sent 2
series 1
severely 1
shifts 1
shot 2
shuttle 2
sides 1
sign 1
signing 2
son 2
sons 1
soon 2
soviet 14
sovietoccupied 1
soviets 4
space 4
spacebased 1
special 1
spending 1
staging 1
start 1
station 1
stations 1
steals 1
stolen 1
story 1
subordinate 1
successfully 2
such 1
suffers 1
suggests 1
suicide 2
super 1
supplying 1
surveillance 1
surveilling 1
surveils 1
suspect 1
suspecting 2
takes 1
technician 1
test 1
that 5
the 87
their 5
them 4
then 2
they 4
to 32
tracking 1
tragic 1
transpire 1
treachery 1
treaty 4
tries 1
troops 1
truth 1
try 1
turkish 1
turncoat 1
two 2
unable 2
unbeknownst 1
under 2
unhinged 1
union 4
uplink 1
use 1
used 1
using 1
warn 1
was 1
way 1
weapon 11
weapons 3
weighing 1
well 1
which 5
while 1
who 3
whom 1
whose 1
wifes 1
will 8
winter 2
with 6
within 1
world 1
worlds 1
