27143105
/m/04t1vnv
/m/04t1vnv
Brian Lumley
1990
a 8
abilities 2
access 1
actions 1
afraid 1
after 2
again 1
against 1
agent 2
agents 1
air 1
alias 1
allowed 1
along 1
an 1
and 18
approached 1
are 4
as 3
ashes 1
assaulted 1
assigned 1
assisted 1
at 1
awake 1
awoke 1
be 3
been 1
before 1
began 1
behead 1
being 2
black 1
book 1
breathed 1
bringing 1
but 1
by 3
check 1
choose 1
closes 1
command 1
communicate 1
community 1
compensating 1
confrontation 1
continuum 2
course 1
darcy 1
dead 3
deadspeak 2
defeat 1
despite 1
developing 2
discovered 1
down 1
drug 2
due 2
during 2
earth 1
ebranch 4
ebranchkgb 1
eliminate 1
engage 1
everyone 1
exploded 1
fact 2
faether 1
faethers 1
fails 1
fateful 1
ferenczy 1
final 1
for 2
force 1
from 2
girlfriend 1
go 1
ground 1
group 1
had 3
harry 16
he 6
head 2
help 2
herself 1
him 4
himself 2
his 13
home 1
house 1
however 1
if 1
in 9
initially 1
insane 1
instead 1
intervention 1
into 2
investigating 1
investigation 1
is 8
its 1
janos 7
jianni 1
jordan 1
jr 1
ken 2
kidnapped 1
kill 1
lack 1
lair 1
last 1
later 1
layard 1
lazarides 1
learn 1
long 1
mathematician 1
mathematicians 1
may 1
mediterranean 2
member 1
mental 1
messages 1
mind 1
mix 1
mobius 3
morning 1
most 1
moves 1
mushrooms 1
new 2
next 1
night 2
nightmares 2
not 2
numbers 1
odd 1
of 14
old 1
on 3
one 1
ones 1
or 1
other 4
out 2
overnight 1
own 1
perhaps 1
pivotal 1
plays 1
ploesti 1
plot 1
possible 1
possibly 1
powerless 1
powers 3
problem 1
process 1
put 1
raised 1
recovering 1
recruited 1
releasing 1
rendered 1
reports 1
restoration 1
restore 2
restored 2
resurgent 1
resurrected 1
return 1
revealed 2
right 1
role 1
romania 1
ruins 1
russian 1
russians 1
sandra 4
sandras 1
secretly 1
separately 1
several 1
she 1
shortly 1
showing 1
side 1
signs 1
situation 1
sleeper 1
slightest 1
slowly 1
smuggler 1
smuggling 1
sought 1
spending 1
spoke 1
spores 1
sr 2
stake 1
status 2
surrounded 1
telepathy 2
teleportation 1
that 5
the 36
their 2
these 1
they 1
this 1
thracian 1
thracians 1
thralls 1
through 1
timely 1
to 20
together 1
took 1
touch 1
trevor 2
trouble 1
troubled 1
troubles 1
two 1
unable 2
unknown 1
untangled 1
uses 1
using 1
vampire 1
vampires 1
vampirized 3
very 1
virtually 1
want 1
was 2
watch 1
what 1
when 3
which 1
who 2
with 4
would 1
years 1
