14504372
/m/03d5nph
/m/03d5nph
Gavin Lyall
1969
{"/m/01jfsb": "Thriller"}
a 5
acquired 1
allege 1
amsterdam 1
an 1
and 5
antique 1
approached 1
are 3
around 1
arrival 1
art 2
as 2
background 1
be 4
block 1
brutally 1
but 1
buying 1
by 1
carlos 1
certifying 1
cezanne 1
collection 1
collectors 1
commission 1
culminate 1
dealer 1
deceit 1
diplomatic 1
do 1
doa 1
donated 1
dubious 1
employer 1
europe 1
european 1
expert 1
export 1
exprofessional 1
finally 1
form 1
from 2
garcia 1
gilbert 1
gogh 1
governments 1
guns 1
has 1
he 3
heat 1
helps 1
his 2
historically 1
however 1
in 8
into 2
is 5
it 1
kemp 4
like 1
london 1
macgregor 1
made 1
many 2
margarita 1
matter 1
mugged 1
murdered 1
mysterious 1
needed 1
next 1
nicaragua 1
nicaraguan 2
not 1
obtain 1
of 5
oil 1
on 2
order 1
painting 1
paintings 3
people 1
player 1
pouch 1
priceless 1
private 2
public 1
sale 1
seems 1
services 1
smuggle 1
smuggling 1
somewhat 1
soon 1
specializing 1
stolen 1
straightforward 1
stumbled 1
switzerland 1
tennis 1
that 1
the 12
they 2
things 1
to 6
transported 1
traveling 1
treachery 1
umberto 1
uncatalogued 1
unravels 1
until 1
unwittingly 1
up 1
valuable 1
van 1
venice 1
very 1
vienna 1
vincent 1
wealthy 1
web 1
where 2
which 1
who 2
will 2
wish 1
with 1
work 1
works 1
would 1
zrich 1
