287085
/m/01q4zs
/m/01q4zs
Gore Vidal
1968-02
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
14 1
140sand 1
a 18
abuses 1
academy 3
actors 1
actresses 1
after 2
age 1
aging 1
alienate 1
allen 1
also 2
an 6
anally 1
and 9
another 1
around 1
arranged 1
as 3
aspiring 1
at 4
attends 1
attentions 1
attractive 1
band 1
bathroom 1
be 1
beating 1
beautiful 1
bed 1
befriends 1
belt 1
boasts 1
breast 1
breckinridge 2
buck 1
buff 1
but 2
by 3
called 1
car 1
ch 1
chapter 1
character 1
cherishes 1
cigarette 1
classes 1
comes 1
complete 1
crash 1
critic 1
curriculum 1
deceased 1
decides 1
derives 1
derrire 1
dildo 1
dominance 1
down 1
earlier 2
empathy 1
end 1
enjoyment 1
eunuch 1
eventually 1
exam 1
female 1
film 2
finds 1
first 1
fit 1
for 1
forced 1
four 1
fourposter 1
from 2
gets 2
gin 1
girl 1
girlfriend 1
godowsky 1
goes 1
golden 1
great 1
half 1
has 2
have 1
head 1
heavy 1
her 6
herself 1
hidden 1
him 4
his 2
hollywoodin 1
hormones 1
hospital 1
husband 1
implants 1
in 6
infirmary 1
injured 1
injuries 1
intending 1
interest 1
intrusion 1
is 7
it 1
job 1
just 1
kinky 1
landed 1
later 1
learned 1
leather 1
letitia 1
lighted 1
like 1
loner 1
lures 1
male 1
man 1
marijuana 1
maryann 2
masochistic 1
me 1
meets 1
member 1
mission 1
mixing 1
my 1
myra 9
myron 4
not 1
novel 1
now 1
observer 1
obtain 1
of 13
office 1
on 1
one 2
only 1
orgy 1
out 4
owned 1
paralyzed 1
parker 1
part 1
particular 1
party 1
passes 1
perverse 1
posture 1
practices 1
pringle 1
process 1
rapes 1
reallife 1
reassignment 1
reflected 1
regular 2
removed 1
result 1
reverts 1
revolves 1
rude 1
rusty 2
same 1
school 1
scout 1
selects 1
sets 1
settle 1
sexual 2
sexually 1
she 9
skins 1
small 1
special 1
spirit 1
still 1
stoned 1
straight 1
strapon 1
stubbed 1
students 1
studs 1
subplot 1
suffers 1
surgery 1
sustained 1
table 1
talent 1
teaching 1
that 1
the 21
then 1
there 1
thick 1
those 1
ties 1
time 1
times 1
to 9
towards 1
tyler 1
unable 1
uncle 1
van 1
verbally 1
victim 1
voracious 1
well 1
where 2
which 1
whom 1
whose 2
with 5
woman 1
writings 1
young 3
