6428992
/m/0g506w
/m/0g506w
Flann O'Brien
1941

a 5
abandon 1
about 1
adventures 1
affecting 1
after 1
also 1
always 2
an 1
and 5
area 2
at 2
authentic 1
authenticity 1
bal 1
be 1
because 1
beginning 1
birth 1
bloodcurdling 1
bnaprt 1
bocht 1
but 1
by 1
chance 1
charge 1
cnasa 1
corca 1
corkadorkey 1
desperate 1
dhorcha 1
dublin 1
eventually 2
every 1
everyone 1
explain 1
false 1
free 1
from 1
gaeilgeoir 1
gaelic 2
gaelicism 1
has 1
his 1
hordes 1
however 1
in 4
ireland 1
irish 2
is 5
it 2
jail 1
language 2
learned 1
life 1
lives 1
lovers 1
memoir 2
miseries 1
most 1
murder 1
narrator 1
never 1
not 1
of 7
on 1
one 4
only 1
our 1
point 1
poor 1
poverty 2
prison 1
question 1
raining 1
region 2
remote 1
resident 1
safe 1
sent 1
sentence 1
series 1
set 1
should 2
smooth 1
speak 1
stops 1
talking 1
that 1
the 10
there 1
they 1
this 2
times 1
to 2
too 3
utters 1
very 1
visited 1
where 1
while 1
who 1
will 1
write 1
