13462888
/m/03c63yj
/m/03c63yj
Kirsten Bakis

2008 1
a 7
act 1
adjusting 1
all 1
and 5
are 1
barricade 1
be 1
become 1
been 1
befriends 1
bustle 1
but 1
castle 1
celebrities 1
charmed 1
cleo 2
come 1
construct 1
created 1
culture 1
difficult 1
discovers 1
dogs 4
drama 1
dream 1
east 1
elegant 1
extinction 1
fantastic 1
few 1
final 1
find 1
finds 1
for 1
from 1
germanic 1
glamorous 1
group 1
had 1
hats 1
herself 1
home 1
human 1
humans 1
hundred 1
illness 1
in 3
incurable 1
inside 1
instant 1
isolated 1
lavish 1
lead 1
lives 2
lower 1
mad 1
may 1
modern 1
monster 2
new 1
nineteenthcentury 1
of 5
on 1
one 1
party 1
pira 1
prove 1
refugees 1
residents 1
retain 1
seem 1
she 1
side 1
skirts 1
strange 1
tails 1
that 2
the 11
their 1
them 3
themselves 1
they 3
threatens 1
to 5
top 1
town 1
utterly 1
wealthy 1
when 3
who 1
whose 1
with 1
witnesses 1
woman 1
world 1
years 1
york 1
young 1
