27860223
/m/0cc7hk4
/m/0cc7hk4
Gerald Kersh
1938
a 2
acts 1
all 1
an 1
and 2
anything 1
are 3
around 2
as 1
at 1
become 1
blackmail 1
bottom 1
calling 1
closing 1
come 2
comes 1
course 1
crime 1
deception 1
desperate 1
determined 1
down 1
during 1
embroiled 1
end 1
ensure 1
eventually 1
exception 1
fabian 2
from 1
hands 1
harry 2
has 1
he 2
him 2
his 3
however 1
in 3
is 2
london 1
means 1
moneymaking 1
morally 1
novel 2
of 4
on 3
one 1
other 1
out 1
pimping 1
police 1
proceeds 1
promoter 1
protagonist 1
reprehensible 1
rock 1
side 1
slip 1
soon 1
spiv 1
starts 1
successful 1
swindled 1
the 8
those 2
to 4
top 2
treated 1
try 1
unscrupulous 1
various 1
ventures 1
while 1
will 1
without 1
world 1
wrestling 1
