5442262
/m/0dm1x8
/m/0dm1x8
Rhiannon Lassiter
1998
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
15 1
20th 1
a 24
able 2
about 4
accident 1
accounts 1
across 1
adopted 2
after 1
age 1
ali 12
alive 1
along 1
already 1
also 1
an 2
and 36
another 1
are 5
area 1
arriving 1
as 8
asks 1
assigned 1
at 4
attempt 2
aware 1
away 1
bank 1
barely 1
be 5
because 6
becomes 1
becoming 2
been 1
before 1
befriended 1
befriends 1
behind 1
being 2
belgravia 1
belief 1
blockhouse 1
blockhouses 1
blow 1
book 1
both 1
boy 2
break 1
bring 1
broadcast 1
broadcasts 1
brother 1
building 1
but 2
by 7
calls 1
can 3
cards 1
caught 2
century 1
channels 1
charge 1
clearly 1
clique 1
coincidence 1
collaborating 1
comes 2
communication 1
completely 1
complex 1
computer 2
considerable 1
contacts 1
control 1
conversation 1
convince 1
countess 2
course 1
cousin 1
cover 1
cps 6
create 1
damages 1
daughter 1
day 1
days 1
deaths 1
decide 1
decides 1
denver 1
determined 2
device 1
devise 1
did 1
dies 1
dirty 1
disappearance 1
discouraged 1
discovers 3
dive 1
dr 1
during 1
ear 1
earlier 1
easily 1
ends 1
england 2
ensue 1
entering 1
escape 1
escaped 2
escaping 1
everything 1
evidence 1
experimenting 2
experiments 3
exploring 1
facility 5
failing 2
fake 1
fast 1
father 2
feels 1
fellow 1
fight 1
fights 1
find 2
finds 1
finn 2
fire 1
first 2
for 7
formerly 1
fortress 1
friend 1
from 5
gain 1
gang 1
gangers 2
get 1
getting 1
girl 4
girls 1
going 2
got 1
government 2
group 5
grow 1
guards 1
gun 1
hack 1
hacker 1
hacks 1
had 5
handy 1
happened 1
happening 1
has 2
havent 1
he 2
headquarters 1
heard 1
help 1
helps 1
her 10
herself 1
hex 3
hexes 3
high 1
him 2
hired 1
his 3
hold 1
holds 1
homeless 1
hope 1
hotel 1
how 1
idea 1
identification 1
if 1
images 1
implanted 1
in 16
independent 1
inexperienced 1
inexplicably 1
information 3
inmates 1
insane 1
intent 1
into 5
intrigued 1
introduction 1
invited 1
involves 1
is 20
it 5
its 2
jeeva 2
joining 1
kalden 1
kez 8
killed 1
knows 2
later 1
leaving 1
lie 1
lives 1
living 1
located 1
locating 1
london 1
luciel 2
main 2
make 1
makes 1
man 1
mans 1
many 2
maturity 1
mean 1
meeting 1
meets 2
melek 2
mets 1
might 1
minister 1
mission 1
morning 1
move 1
muscle 2
music 1
mutants 1
name 3
neighborhood 1
net 2
never 1
news 2
next 1
not 2
novel 1
now 1
of 24
old 1
on 9
one 2
only 1
open 1
opens 1
or 2
orphans 1
other 1
out 4
over 2
own 2
owns 2
parents 1
partly 1
party 1
people 2
perhaps 1
plan 1
point 1
possibly 1
presence 1
presumed 1
price 1
prime 1
prior 1
profiles 1
providing 1
rachel 8
raid 1
ran 1
ratings 1
raven 25
reference 1
refuses 1
regains 1
remaining 1
reports 1
responsible 2
rest 1
revenge 3
rich 2
roof 1
room 2
running 1
runs 1
same 2
say 1
scientist 1
scientists 1
search 1
searching 1
see 3
seeing 1
sends 1
separation 1
she 12
should 2
shown 1
siblings 1
sister 3
sixteen 1
slums 1
small 1
so 2
soldierlike 1
some 1
somehow 1
speak 1
spoiled 2
spoken 1
states 2
stick 1
still 1
stop 1
story 1
streets 1
subjects 1
successfully 1
such 1
suiting 1
survive 1
systems 2
tags 1
taken 3
takes 2
taste 1
tells 2
terrified 1
terrorists 1
test 1
that 15
the 71
their 3
them 2
then 2
there 2
these 1
they 4
thinks 1
three 2
time 1
to 31
together 1
told 1
transported 1
travel 1
tries 2
turns 1
two 4
tyranny 1
united 1
up 7
various 1
very 2
vidchannel 2
vidchannels 2
violent 1
was 2
watching 1
way 3
weapons 1
well 2
were 2
what 1
when 2
where 2
whereas 1
which 3
while 1
who 6
whole 1
whom 1
will 1
with 7
woman 1
wraith 18
year 1
years 1
younger 1
